block,threshold,population,observations,share_of_opportunities,mean_sweep_p,realised_sweep_rate_500ms,p_next_move_follows_sweep,markout_500ms_observed,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_mean_bps,markout_500ms_frac_favourable
992815,0.9,score_at_or_above,204,0.005666666667,0.9559677498,0.9460784314,0.9950980392,204,39.06862745,30.5,0.6028025971,0.9950980392
992816,,all,36000,,0.0410772334,0.04641666667,0.5,36000,0,0,0,0.04513888889
992816,0.3,score_at_or_above,770,0.02138888889,0.5734400301,0.5285714286,0.8842652796,770,16.68181818,2,0.2575434144,0.525974026
992816,0.5,score_at_or_above,354,0.009833333333,0.803887114,0.7768361582,0.9237288136,354,27.65677966,20,0.4269756658,0.7740112994
992816,0.7,score_at_or_above,232,0.006444444444,0.9189903432,0.9181034483,0.9784482759,232,34.14008621,25.5,0.5270945344,0.9267241379
992816,0.9,score_at_or_above,171,0.00475,0.9580788815,0.9707602339,1,171,35.09064327,28,0.5417973942,0.9824561404
992817,,all,36000,,0.03414767519,0.03958333333,0.5,36000,0,0,0,0.03838888889
992817,0.3,score_at_or_above,599,0.01663888889,0.5981903673,0.5525876461,0.9165275459,599,18.84557596,7,0.2910034003,0.5626043406
992817,0.5,score_at_or_above,305,0.008472222222,0.8036899074,0.7508196721,0.9442622951,305,27.47704918,19,0.4242851114,0.7836065574
992817,0.7,score_at_or_above,202,0.005611111111,0.9128435709,0.8663366337,0.9653465347,202,34.23514851,30,0.5286624783,0.9059405941
992817,0.9,score_at_or_above,144,0.004,0.9595060319,0.9375,0.9861111111,144,38.72222222,35,0.5979311142,0.9861111111
992818,,all,36000,,0.02557461867,0.02388888889,0.5,36000,0,0,0,0.02372222222
992818,0.3,score_at_or_above,407,0.01130555556,0.587982215,0.5577395577,0.8733850129,407,15.67321867,4,0.2420082322,0.5626535627
992818,0.5,score_at_or_above,202,0.005611111111,0.7959320295,0.801980198,0.9444444444,202,24.83168317,18,0.383426751,0.8217821782
992818,0.7,score_at_or_above,134,0.003722222222,0.8987212017,0.9104477612,0.9770992366,134,31.3358209,25.5,0.4838539472,0.9253731343
992818,0.9,score_at_or_above,81,0.00225,0.9621599522,0.975308642,1,81,36.19753086,31,0.5589150451,0.987654321
992819,,all,36000,,0.02420814749,0.02627777778,0.5,36000,0,0,0,0.0245
992819,0.3,score_at_or_above,402,0.01116666667,0.6094318701,0.552238806,0.9355670103,402,16.9340796,7,0.2616711291,0.5422885572
992819,0.5,score_at_or_above,216,0.006,0.8119954114,0.712962963,0.9523809524,216,22.09953704,15,0.3414545963,0.7037037037
992819,0.7,score_at_or_above,153,0.00425,0.9045904052,0.8562091503,0.9607843137,153,22.41176471,24,0.3462507832,0.8562091503
992819,0.9,score_at_or_above,101,0.002805555556,0.9550364192,0.9405940594,0.9900990099,101,33.31683168,29,0.5148424754,0.9801980198
992820,,all,36000,,0.02230246392,0.02083333333,0.5,36000,0,0,0,0.02005555556
992820,0.3,score_at_or_above,265,0.007361111111,0.6184896266,0.558490566,0.9322709163,265,17.97924528,5,0.2778519194,0.5849056604
992820,0.5,score_at_or_above,132,0.003666666667,0.8643630394,0.8106060606,0.9615384615,132,30.37121212,23,0.4693669902,0.8560606061
992820,0.7,score_at_or_above,109,0.003027777778,0.9197697218,0.9174311927,0.9813084112,109,34.76605505,26,0.5372893295,0.9449541284
992820,0.9,score_at_or_above,79,0.002194444444,0.9554346936,0.9620253165,1,79,38.62025316,28,0.5969058421,1
992821,,all,36000,,0.01886066964,0.01477777778,0.5,36000,0,0,0,0.01486111111
992821,0.3,score_at_or_above,233,0.006472222222,0.6177933178,0.5450643777,0.9541284404,233,19.79613734,7,0.3056982846,0.5708154506
992821,0.5,score_at_or_above,126,0.0035,0.8200552934,0.746031746,0.9756097561,126,30.49206349,24.5,0.4708600107,0.7936507937
992821,0.7,score_at_or_above,90,0.0025,0.9173987885,0.8777777778,0.9666666667,90,38.72222222,31.5,0.5979382133,0.9444444444
992821,0.9,score_at_or_above,62,0.001722222222,0.960848943,0.9516129032,1,62,42.91935484,33,0.6627292242,1
992822,,all,36000,,0.01625103664,0.01311111111,0.5,36000,0,0,0,0.01266666667
992822,0.3,score_at_or_above,223,0.006194444444,0.5944445656,0.5022421525,0.995049505,223,18.98206278,2,0.2932877818,0.5246636771
992822,0.5,score_at_or_above,110,0.003055555556,0.8185111609,0.7181818182,1,110,28.40909091,19,0.4389778052,0.7727272727
992822,0.7,score_at_or_above,79,0.002194444444,0.9147201759,0.8734177215,1,79,35.41772152,27,0.5472975124,0.9367088608
992822,0.9,score_at_or_above,58,0.001611111111,0.9554662587,0.9137931034,1,58,41.81034483,29.5,0.646081522,0.9827586207
992823,,all,36000,,0.01777633565,0.01708333333,0.5,36000,0,0,0,0.01622222222
992823,0.3,score_at_or_above,225,0.00625,0.6196583324,0.4933333333,0.9078341014,225,16.83111111,0,0.2602163429,0.4977777778
992823,0.5,score_at_or_above,127,0.003527777778,0.8101848645,0.7244094488,0.944,127,27.64566929,17,0.4273997395,0.7322834646
992823,0.7,score_at_or_above,86,0.002388888889,0.9077058119,0.8720930233,0.9882352941,86,35.73255814,23,0.5524355396,0.8837209302
992823,0.9,score_at_or_above,58,0.001611111111,0.9582030258,0.9655172414,1,58,45.96551724,39,0.7105746248,0.9655172414
992824,,all,36000,,0.01836435294,0.01827777778,0.5,36000,0,0,0,0.01788888889
992824,0.3,score_at_or_above,266,0.007388888889,0.5898393087,0.6052631579,0.9459459459,266,19.76503759,13,0.3059696213,0.6052631579
992824,0.5,score_at_or_above,124,0.003444444444,0.8408068754,0.7983870968,0.9758064516,124,29.52016129,26.5,0.456963624,0.8387096774
992824,0.7,score_at_or_above,95,0.002638888889,0.9222952235,0.8947368421,1,95,33.39473684,27,0.5169319943,0.9473684211
992824,0.9,score_at_or_above,71,0.001972222222,0.9555311513,0.9295774648,1,71,34.33098592,27,0.5314288955,1
992825,,all,36000,,0.0168666093,0.01452777778,0.5,36000,0,0,0,0.01433333333
992825,0.3,score_at_or_above,187,0.005194444444,0.6799193541,0.6203208556,0.9137931034,187,20.31016043,7,0.3145196992,0.6096256684
992825,0.5,score_at_or_above,116,0.003222222222,0.8642707405,0.8793103448,0.9736842105,116,33.39655172,23,0.5171753104,0.8793103448
992825,0.7,score_at_or_above,96,0.002666666667,0.9180366691,0.9479166667,0.9791666667,96,39.54166667,28,0.6123427097,0.9375
992825,0.9,score_at_or_above,66,0.001833333333,0.9612987155,0.9696969697,1,66,45.5,36,0.7046012992,0.9848484848
992826,,all,36000,,0.01134559637,0.008166666667,0.5,36000,0,0,0,0.007833333333
992826,0.3,score_at_or_above,69,0.001916666667,0.7067501684,0.652173913,0.9692307692,69,20.44202899,17,0.316536193,0.6811594203
992826,0.5,score_at_or_above,44,0.001222222222,0.8989676062,0.9090909091,1,44,29.67045455,25.5,0.4594210069,0.9545454545
992826,0.7,score_at_or_above,40,0.001111111111,0.9333872676,0.95,1,40,29.8125,26,0.4616087133,0.975
992826,0.9,score_at_or_above,31,0.0008611111111,0.9585724317,1,1,31,29.62903226,26,0.4587864971,1
992827,,all,36000,,0.02642474822,0.01819444444,0.5,36000,0,0,0,0.01761111111
992827,0.3,score_at_or_above,470,0.01305555556,0.5807352519,0.4446808511,0.8303571429,470,17.7893617,0,0.275533862,0.4276595745
992827,0.5,score_at_or_above,225,0.00625,0.7968119677,0.7333333333,0.8944954128,225,32.53777778,23,0.5039662191,0.6977777778
992827,0.7,score_at_or_above,147,0.004083333333,0.9112939983,0.8979591837,0.9652777778,147,46.03061224,35,0.7129379379,0.8571428571
992827,0.9,score_at_or_above,98,0.002722222222,0.968745246,0.9693877551,0.9795918367,98,49.90816327,41,0.7730038182,0.9285714286
