problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,target,feature_set,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,naive,1,33354,42856,2026-08-18T14:52:00.649Z,next_move_matches_sweep_direction,book_flow,34520,17260,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,linear,1,33354,42856,2026-08-18T14:52:00.649Z,next_move_matches_sweep_direction,book_flow,34520,17260,0.5,0.7398151977,0.733416795,1.46683359,0.6003871393,0.2069782398,0.6752317497
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,lightgbm,1,33354,42856,2026-08-18T14:52:00.649Z,next_move_matches_sweep_direction,book_flow,34520,17260,0.5,0.7216419655,0.7074420037,1.414884007,0.6319404677,0.2175835579,0.6650057937
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,naive,2,67874,42856,2026-08-18T20:49:08.333Z,next_move_matches_sweep_direction,book_flow,31362,15681,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,linear,2,67874,42856,2026-08-18T20:49:08.333Z,next_move_matches_sweep_direction,book_flow,31362,15681,0.5,0.7667334207,0.7537963264,1.507592653,0.5786760933,0.1968214538,0.7009757031
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,lightgbm,2,67874,42856,2026-08-18T20:49:08.333Z,next_move_matches_sweep_direction,book_flow,31362,15681,0.5,0.7438887439,0.7308598499,1.4617197,0.6050404356,0.2073925393,0.6806963842
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,naive,3,99236,42850,2026-08-19T02:46:16.016Z,next_move_matches_sweep_direction,book_flow,31934,15967,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,linear,3,99236,42850,2026-08-19T02:46:16.016Z,next_move_matches_sweep_direction,book_flow,31934,15967,0.5,0.765064692,0.7574317851,1.51486357,0.5781865853,0.1972888127,0.6907997745
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,lightgbm,3,99236,42850,2026-08-19T02:46:16.016Z,next_move_matches_sweep_direction,book_flow,31934,15967,0.5,0.7503496057,0.7434063862,1.486812772,0.5911249112,0.2030810683,0.6801841298
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,naive,4,131170,42856,2026-08-19T08:43:23.700Z,next_move_matches_sweep_direction,book_flow,33172,16586,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
