alpha_pct,beta_pct,side,horizon_ms,observed_fills,p_trade_through_given_fill,p_at_quote_given_fill,mean_markout_trade_through_ticks,mean_markout_at_quote_ticks,mean_markout_total_ticks,reconstructed_mean_ticks,reconstruction_error_ticks,required_benefit_ticks
50,75,0,5000,188283,0.1052670714,0.8947329286,-54.44735116,-37.78128432,-39.53567237,-39.53567237,0,39.53567237
50,75,1,100,186315,0.09794165794,0.9020583421,-32.72462736,-17.16880173,-18.69236508,-18.69236508,0,18.69236508
50,75,1,500,186309,0.09793407726,0.9020659227,-49.71133399,-29.15772062,-31.17061978,-31.17061978,7.105427358e-15,31.17061978
50,75,1,1000,186308,0.09793460292,0.9020653971,-53.86468267,-32.62985684,-34.70948107,-34.70948107,0,34.70948107
50,75,1,5000,186275,0.09791974232,0.9020802577,-66.39194079,-42.10890588,-44.4866944,-44.4866944,0,44.4866944
50,100,0,100,193498,0.0947348293,0.9052651707,-31.91822596,-14.28114599,-15.95199175,-15.95199175,0,15.95199175
50,100,0,500,193493,0.09473727732,0.9052627227,-47.24461295,-23.75982804,-25.98471263,-25.98471263,0,25.98471263
50,100,0,1000,193475,0.0947409226,0.9052590774,-51.14249864,-26.76971938,-29.07881897,-29.07881897,3.552713679e-15,29.07881897
50,100,0,5000,193467,0.09474484021,0.9052551598,-53.83341517,-34.39605566,-36.23764518,-36.23764518,0,36.23764518
50,100,1,100,192447,0.08805541266,0.9119445873,-32.77434203,-15.20375382,-16.75093922,-16.75093922,3.552713679e-15,16.75093922
50,100,1,500,192441,0.08804776529,0.9119522347,-49.50548867,-26.07061374,-28.13400211,-28.13400211,0,28.13400211
50,100,1,1000,192440,0.08804822282,0.9119517772,-53.70910057,-29.35726455,-31.50140044,-31.50140044,0,31.50140044
50,100,1,5000,192411,0.08803031012,0.9119696899,-66.45639981,-38.48347039,-40.94593604,-40.94593604,0,40.94593604
75,0,0,100,163396,0.6718401919,0.3281598081,-33.66707659,-25.31715778,-30.92696884,-30.92696884,0,30.92696884
75,0,0,500,163395,0.6718443037,0.3281556963,-51.30935724,-38.35700032,-47.05896753,-47.05896753,-7.105427358e-15,47.05896753
75,0,0,1000,163383,0.6718202016,0.3281797984,-55.36394446,-42.06921987,-51.00088442,-51.00088442,7.105427358e-15,51.00088442
75,0,0,5000,163380,0.6718202962,0.3281797038,-63.77788306,-49.29664478,-59.02543457,-59.02543457,0,59.02543457
75,0,1,100,160947,0.6610747637,0.3389252363,-35.12737551,-25.79427671,-31.9641528,-31.9641528,0,31.9641528
75,0,1,500,160945,0.6610705521,0.3389294479,-54.89002406,-40.06937799,-49.86687067,-49.86687067,0,49.86687067
75,0,1,1000,160944,0.6610746595,0.3389253405,-59.44551017,-43.19364596,-53.93734156,-53.93734156,-7.105427358e-15,53.93734156
75,0,1,5000,160912,0.6610694044,0.3389305956,-72.17578074,-50.90667058,-64.96702856,-64.96702856,0,64.96702856
75,25,0,100,164752,0.6243626785,0.3756373215,-33.3174938,-25.00635028,-30.19551811,-30.19551811,0,30.19551811
75,25,0,500,164751,0.6243664682,0.3756335318,-50.94796578,-37.72778981,-45.98202439,-45.98202439,7.105427358e-15,45.98202439
75,25,0,1000,164739,0.6243391061,0.3756608939,-55.00454532,-41.39912096,-49.89351945,-49.89351945,0,49.89351945
75,25,0,5000,164737,0.6243345454,0.3756654546,-63.26102323,-48.83958407,-57.84338673,-57.84338673,0,57.84338673
75,25,1,100,162306,0.6122016438,0.3877983562,-34.88990983,-25.26469607,-31.15726775,-31.15726775,0,31.15726775
75,25,1,500,162304,0.6121968651,0.3878031349,-54.54788048,-39.4729354,-48.70176952,-48.70176952,0,48.70176952
