symbol,horizon,features,model,final_holdout,observations,directional_accuracy,auc,ic,gross_sharpe,net_sharpe,annualized_return,max_drawdown,turnover_roundtrips_per_year,trade_count,gross_edge_bp,all_in_cost_bp,net_edge_bp,long_net_edge_bp,short_net_edge_bp,top_5pct_net_pnl_share
ETHUSDT,15m,full,ridge,False,34525,0.5041853729181752,0.5044756092483779,-0.0003003143824560454,1.2003039095124295,-45.241367596479186,-37.57353230746906,-0.9999961259857624,11580.44754789895,11509,0.28429947881900236,11.0,-10.715700521181,-10.24461701448207,-11.36945105568497,-0.43311220757648605
ETHUSDT,15m,full,ridge,True,8626,0.4860885694412242,0.49329972935508715,0.0012055380023726417,-2.0913970333449883,-53.75261056154231,-40.1318426109232,-0.9636873610697905,11672.216983679926,2876,-0.4453121751435099,11.0,-11.44531217514351,-9.769950166512212,-12.170718047341122,-0.3500687870680398
ETHUSDT,30m,price_volume,unconditional,False,17280,0.5025462962962963,0.5014473064661793,-0.0016837225716745691,2.040017018892277,-22.044685348195934,-17.65170934634333,-0.9485687150357588,2898.8494660695833,2880,0.9317195149764277,11.0,-10.068280485023575,-9.647876180765254,-10.48868478928189,-0.6711185311846698
ETHUSDT,30m,price_volume,unconditional,True,4320,0.48865740740740743,0.5,,-3.1630481060510736,-32.79705405685252,-21.3436464832763,-0.5893810506892072,2926.063977746871,720,-1.1741081926056922,11.0,-12.174108192605692,,-12.174108192605692,-0.4022748109196167
ETHUSDT,30m,price_volume,momentum,False,17280,0.4865162037037037,0.4812214867225177,-0.013754001337911884,0.787625751102662,-23.306505352683537,-18.648301857261096,-0.9560100941713375,2898.8494660695833,2880,0.3594580725181995,10.996180555555556,-10.636722483037357,-10.297185935175241,-11.015327246060464,-0.6545343297596926
ETHUSDT,30m,price_volume,momentum,True,4320,0.4976851851851852,0.4943269738828503,0.010407342650348459,9.276862248212847,-20.421404078769385,-13.261072468128216,-0.45072185687192834,2926.063977746871,720,3.4360754801915268,11.0,-7.563924519808474,-6.538531929551079,-8.660033840428449,-0.7382437619733584
ETHUSDT,30m,price_volume,ridge,False,17280,0.49346064814814816,0.4934953759094445,0.004890187216382253,-2.529248151063562,-26.615486104130003,-21.31030066279077,-0.9718624236569695,2898.8494660695833,2880,-1.155088217425718,11.0,-12.15508821742572,-11.857329687974925,-12.378316665385793,-0.5527976860732341
ETHUSDT,30m,price_volume,ridge,True,4320,0.4979166666666667,0.5057159142374835,0.006789173347274602,1.0049801730046262,-28.621416631547532,-18.63101165032358,-0.54069605174347,2926.063977746871,720,0.37313960168630084,11.0,-10.626860398313699,-7.47462527882837,-11.51307596571349,-0.4777147152727699
ETHUSDT,30m,plus_basis,unconditional,False,17280,0.5025462962962963,0.5014473064661793,-0.0016837225716745691,2.040017018892277,-22.044685348195934,-17.65170934634333,-0.9485687150357588,2898.8494660695833,2880,0.9317195149764277,11.0,-10.068280485023575,-9.647876180765254,-10.48868478928189,-0.6711185311846698
ETHUSDT,30m,plus_basis,unconditional,True,4320,0.48865740740740743,0.5,,-3.1630481060510736,-32.79705405685252,-21.3436464832763,-0.5893810506892072,2926.063977746871,720,-1.1741081926056922,11.0,-12.174108192605692,,-12.174108192605692,-0.4022748109196167
