queue_cell,threshold,latency_ms,block,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
midpoint,0.2,25,992908,3600,3214,2368,0.6577777778,1770,1444,547,107053,23246.5,83806.5,23.27958333,4.605123352,0.8667969456,0.902222705,0.2023433979,1030,0.9640689615,796,0.9471769924,415,0.9372698654
midpoint,0.2,25,992909,3600,3156,2245,0.6236111111,1625,1531,533,95322,17624.5,77697.5,21.58263889,5.408493858,0.9069737092,0.9059229906,0.2459396752,925,0.9298614429,734,0.9453189145,375,0.9138114082
midpoint,0.2,25,992910,3600,3302,2389,0.6636111111,1770,1532,633,120146.5,33830.5,86316,23.97666667,3.551425489,1.026329418,0.9484008905,0.2287581699,963,0.951038573,802,0.9584628136,472,0.9644395765
midpoint,0.2,25,992911,3600,3286,2439,0.6775,1801,1485,648,110671,29646.5,81024.5,22.50680556,3.733020761,0.8495559831,0.8817798535,0.2296834902,976,0.9412013293,754,0.9295301409,435,0.9228787624
midpoint,0.2,25,992912,3600,3092,2267,0.6297222222,1631,1461,563,86850,12674,74176,20.60444444,6.852611646,0.7465353649,0.8460213698,0.2469990766,879,0.8978347851,655,0.9017639801,308,0.8793629453
midpoint,0.2,25,992913,3600,3147,2292,0.6366666667,1634,1513,590,85238.5,14874,70364.5,19.54569444,5.730704585,0.9004901365,0.8816327164,0.2518315018,852,0.9151746797,656,0.9005148087,312,0.9063287494
midpoint,0.2,25,992914,3600,3049,2235,0.6208333333,1618,1431,488,94379.5,12723,81656.5,22.68236111,7.418022479,0.8659284245,0.9428476663,0.2421545667,931,0.9478119267,733,0.9679633382,377,0.9908344582
midpoint,0.2,25,992915,3600,3086,2045,0.5680555556,1455,1631,508,71552.5,8695,62857.5,17.46041667,8.229154687,0.9397918063,0.8440516582,0.2576530612,782,0.8912372057,559,0.8769362939,246,0.8388371399
midpoint,0.2,25,992916,3600,3158,2143,0.5952777778,1402,1756,542,78488,11798.5,66689.5,18.52486111,6.652371064,0.9236705139,0.938468647,0.3210653753,742,0.9779709501,569,0.9836304457,297,0.9291547789
midpoint,0.2,25,992917,3600,3059,2083,0.5786111111,1407,1652,603,59260.5,9000.5,50260,13.96111111,6.584134215,0.7398327551,0.7348469488,0.2993027888,638,0.8437314643,456,0.8053639196,224,0.7957597633
midpoint,0.2,25,992918,3600,2916,1889,0.5247222222,1194,1722,359,63618.5,2507.5,61111,16.97527778,25.37128614,1.373243242,0.8979415062,0.3475409836,673,0.933337899,499,0.9047240658,195,0.760752645
midpoint,0.2,25,992919,3600,3022,1938,0.5383333333,1219,1803,404,60890,6580,54310,15.08611111,9.253799392,0.796363951,0.85154401,0.3410810811,631,0.8872945242,440,0.8853861479,213,0.9280216144
midpoint,0.2,25,992920,3140,2376,1416,0.450955414,753,1623,299,29289,3202.5,26086.5,8.307802548,9.145667447,0.4313930514,0.6364431282,0.4346846847,334,0.747974744,247,0.6964955193,106,0.6882101225
midpoint,0.2,50,992801,614,310,96,0.1563517915,34,276,2,2008,1,2007,3.268729642,2008,23.93944364,2.336455266,0.6382978723,32,2.411278561,28,2.968536252,0,0
midpoint,0.2,50,992802,3600,1945,1040,0.2888888889,437,1508,204,10328.5,102,10226.5,2.840694444,101.2598039,0.8722386179,0.9197125766,0.5581395349,181,0.9433196319,112,1.243116465,3,0.2724980152
midpoint,0.2,50,992803,3600,1890,1107,0.3075,335,1555,147,6816,73.5,6742.5,1.872916667,92.73469388,0.889038677,0.9286601269,0.6909594096,136,0.9786780384,46,1.365907306,0,0
midpoint,0.2,50,992804,3600,1765,879,0.2441666667,411,1354,184,10250.5,239,10011.5,2.780972222,42.88912134,0.4710917789,0.9774453985,0.5259515571,198,1.302131655,59,0.7631621376,25,1.98814995
midpoint,0.2,50,992805,3600,1448,785,0.2180555556,319,1129,148,4770.5,74,4696.5,1.304583333,64.46621622,1.498810704,0.8394346406,0.5835509138,80,0.8484457856,47,1.308844741,0,0
midpoint,0.2,50,992806,3600,2289,1213,0.3369444444,541,1748,316,9659.5,568,9091.5,2.525416667,17.00616197,0.2563937803,0.5087000211,0.5423011844,106,0.5245516749,40,0.320534364,10,0.1888863216
