queue_cell,threshold,latency_ms,utc_day,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
conservative,0.7,0,2026-08-20,147124,118727,35389,0.2405385933,2055,116672,392,131346.5,27069.5,104277,0.7087694734,4.852195275,0.5076120182,0.8087815837,0.9417153554,1283,0.9154504056,935,0.9146364036,471,0.9332241075
conservative,0.7,25,2026-08-18,108614,50678,15896,0.1463531405,267,50411,38,12495.5,592,11903.5,0.1095945274,21.10726351,0.2755613469,0.9814006488,0.9831641339,172,1.018738747,92,1.027241743,34,1.230621334
conservative,0.7,25,2026-08-19,172796,107550,34874,0.2018218014,1264,106286,195,104650.5,30511.5,74139,0.4290550707,3.429870704,0.362999844,1.048272583,0.9636353175,842,1.014288803,601,1.109004407,397,1.639147372
conservative,0.7,25,2026-08-20,147124,118727,35389,0.2405385933,1747,116980,353,110982.5,23904,87078.5,0.5918714826,4.642842202,0.4857105633,0.7944610062,0.9504509615,1071,0.8989107148,789,0.9078890882,403,0.9392668816
conservative,0.7,50,2026-08-18,108614,50678,15896,0.1463531405,238,50440,38,10428,592,9836,0.09055922809,17.61486486,0.2299670862,0.909755079,0.9849927486,144,0.9568220473,77,0.9645169439,28,1.136940818
conservative,0.7,50,2026-08-19,172796,107550,34874,0.2018218014,1130,106420,175,96450.5,29393.5,67057,0.3880703257,3.281354721,0.3472816775,1.060572236,0.9674904341,760,1.024074996,539,1.112541438,366,1.69035223
conservative,0.7,50,2026-08-20,147124,118727,35389,0.2405385933,1531,117196,317,95770.5,20979,74791.5,0.5083568962,4.565065065,0.4775739144,0.7786308455,0.9565772307,933,0.8935656064,682,0.8954841064,344,0.9148715452
conservative,0.7,100,2026-08-18,108614,50678,15896,0.1463531405,159,50519,38,6317.5,592,5725.5,0.05271419891,10.6714527,0.1393188595,0.7926824089,0.9899741472,76,0.7558961038,50,0.9374950284,18,1.09403739
conservative,0.7,100,2026-08-19,172796,107550,34874,0.2018218014,890,106660,142,79489,25675.5,53813.5,0.3114279266,3.095908551,0.3276550103,1.080626989,0.9743951207,591,1.011099948,427,1.119035186,288,1.68879545
conservative,0.7,100,2026-08-20,147124,118727,35389,0.2405385933,1184,117543,269,71323.5,17650.5,53673,0.3648147141,4.040877029,0.4227360252,0.7225347176,0.9664189687,688,0.852033611,497,0.843826936,250,0.8597361229
conservative,0.8,0,2026-08-18,108614,50678,14672,0.135083875,95,50583,5,6460,118.5,6341.5,0.05838565931,54.51476793,0.7117058481,1.469438172,0.9935237576,68,1.13195965,57,1.788740514,17,1.729346822
