queue_cell,threshold,population,fills,fills_above_threshold_at_last_instant,share_above_threshold_at_last_instant,share_single_observation,share_two_or_more,share_five_or_more,mean_consecutive_observations,median_run_duration_ms,median_warning_ms
midpoint,0.9,all_fills,305041,6150,0.02016122423,0.01978422573,0.0003769985018,9.834743526e-06,1.024065041,0,30.831618
midpoint,0.9,adverse_fills,204744,5122,0.0250166061,0.0246600633,0.0003565428047,9.768296018e-06,1.017766497,0,31.3482415
midpoint,0.9,catastrophic_25,156132,4129,0.0264455717,0.02599723311,0.0004483385853,1.280967387e-05,1.021312667,0,25.519989
midpoint,0.9,catastrophic_50,104147,3069,0.02946796355,0.02887265116,0.000595312395,1.920362564e-05,1.026067123,0,20.967067
midpoint,0.9,catastrophic_100,46861,1684,0.03593606624,0.03482640149,0.001109664753,4.267941358e-05,1.040973872,0,19.1825
optimistic,0.1,all_fills,414208,113442,0.2738768928,0.07914139756,0.1947354952,0.106214752,5.406040091,200,296.022526
optimistic,0.1,adverse_fills,86614,52336,0.6042441176,0.1771653543,0.4270787632,0.2293624587,5.338161113,200,307.143214
optimistic,0.1,catastrophic_25,65222,39968,0.6127993622,0.180782558,0.4320168041,0.2314863083,5.300365292,200,307.8166785
optimistic,0.1,catastrophic_50,43388,27543,0.634806859,0.1918272333,0.4429796257,0.2373006361,5.23421559,200,310.608453
optimistic,0.1,catastrophic_100,19433,13012,0.6695826687,0.2170020069,0.4525806618,0.2358359492,4.953811866,200,306.049415
optimistic,0.2,all_fills,414208,63822,0.1540820071,0.06334498609,0.09073702101,0.03398292645,3.270486666,100,161.547041
optimistic,0.2,adverse_fills,86614,35634,0.4114115501,0.1725471633,0.2388643868,0.08937354238,3.260593815,100,162.5811475
optimistic,0.2,catastrophic_25,65222,27435,0.4206402748,0.1771181503,0.2435221244,0.09116555763,3.242864954,100,164.733015
optimistic,0.2,catastrophic_50,43388,19317,0.4452152669,0.1905365539,0.254678713,0.09465750899,3.215664958,100,164.231578
optimistic,0.2,catastrophic_100,19433,9618,0.4949313024,0.2192147378,0.2757165646,0.09818350229,3.088168018,100,169.0316205
optimistic,0.3,all_fills,414208,40156,0.09694646168,0.05047464076,0.04647182092,0.01137592707,2.327672079,0,113.304256
optimistic,0.3,adverse_fills,86614,25090,0.2896760339,0.1537973076,0.1358787263,0.03372434018,2.312196094,0,113.238239
optimistic,0.3,catastrophic_25,65222,19368,0.2969550152,0.1580601637,0.1388948514,0.03478887492,2.306743081,0,112.137034
optimistic,0.3,catastrophic_50,43388,13877,0.3198349774,0.1718908454,0.147944132,0.03653083802,2.290552713,0,111.617514
optimistic,0.3,catastrophic_100,19433,7196,0.3702979468,0.20424021,0.1660577368,0.03885143828,2.228460256,0,112.177344
optimistic,0.4,all_fills,414208,27070,0.06535363875,0.04103252472,0.02432111403,0.003633440204,1.802068711,0,88.364418
optimistic,0.4,adverse_fills,86614,18159,0.2096543284,0.1344817235,0.07517260489,0.01122220426,1.771683463,0,87.55159
optimistic,0.4,catastrophic_25,65222,14155,0.2170279967,0.1397534574,0.07727453927,0.01156051639,1.765595196,0,84.317464
optimistic,0.4,catastrophic_50,43388,10301,0.2374158754,0.153383424,0.08403245137,0.01253802895,1.765847976,0,83.834107
optimistic,0.4,catastrophic_100,19433,5538,0.2849791592,0.1868471157,0.09813204343,0.01445993928,1.744853738,0,83.2819635
optimistic,0.5,all_fills,414208,18708,0.04516571384,0.03343489261,0.01173082123,0.0009970835909,1.454725251,0,65.100664
optimistic,0.5,adverse_fills,86614,13353,0.1541667629,0.1161359595,0.03803080333,0.003105733484,1.428892384,0,63.528815
optimistic,0.5,catastrophic_25,65222,10498,0.160957959,0.1218147251,0.03914323388,0.003327098218,1.427891027,0,58.6471165
optimistic,0.5,catastrophic_50,43388,7767,0.1790126302,0.1351986724,0.04381395778,0.00371070342,1.434144457,0,55.188665
optimistic,0.5,catastrophic_100,19433,4249,0.2186486904,0.1645139711,0.05413471929,0.004631297278,1.443163097,0,55.01412
optimistic,0.6,all_fills,414208,12975,0.03132484163,0.02657601978,0.004748821848,0.0002124536465,1.22504817,0,48.463134
optimistic,0.6,adverse_fills,86614,9743,0.1124875886,0.09706283049,0.01542475812,0.0006580922253,1.199733142,0,46.879969
optimistic,0.6,catastrophic_25,65222,7761,0.1189935911,0.1025267548,0.01646683634,0.0006899512434,1.20216467,0,41.900779
optimistic,0.6,catastrophic_50,43388,5805,0.1337927538,0.1145017055,0.01929104822,0.0009680095879,1.215848407,0,38.197645
optimistic,0.6,catastrophic_100,19433,3243,0.1668810786,0.1415633201,0.02531775845,0.001440848042,1.23435091,0,37.314986
optimistic,0.7,all_fills,414208,9603,0.02318400417,0.02137814818,0.001805855995,7.967011743e-05,1.109653233,0,38.658541
optimistic,0.7,adverse_fills,86614,7513,0.08674117348,0.08118779874,0.005553374743,0.0001962731198,1.085052576,0,38.202792
optimistic,0.7,catastrophic_25,65222,6016,0.09223881512,0.08610591518,0.006132899942,0.0001993192481,1.089261968,0,32.571195
optimistic,0.7,catastrophic_50,43388,4540,0.1046372269,0.09723886789,0.007398358993,0.0002996220153,1.09845815,0,28.3650945
optimistic,0.7,catastrophic_100,19433,2551,0.1312715484,0.1202078938,0.01106365461,0.0006175063037,1.123088985,0,26.826783
optimistic,0.8,all_fills,414208,7736,0.01867660692,0.01793784765,0.0007387592707,3.621368974e-05,1.056101344,0,33.5071675
optimistic,0.8,adverse_fills,86614,6250,0.07215923523,0.07002332186,0.002135913363,9.236382109e-05,1.03968,0,33.6992895
optimistic,0.8,catastrophic_25,65222,5023,0.07701389102,0.07443807304,0.002575817976,0.000107325749,1.044993032,0,27.838291
optimistic,0.8,catastrophic_50,43388,3781,0.08714391076,0.08387111644,0.003272794321,0.0001613349313,1.052367099,0,23.935077
optimistic,0.8,catastrophic_100,19433,2134,0.1098132043,0.1043585653,0.005454639016,0.0003602120105,1.074039363,0,21.9953085
optimistic,0.9,all_fills,414208,6131,0.01480174212,0.01451927534,0.00028246678,7.242737948e-06,1.02479204,0,30.630435
optimistic,0.9,adverse_fills,86614,5091,0.05877802665,0.05793520678,0.0008428198675,2.309095527e-05,1.018071106,0,31.111258
optimistic,0.9,catastrophic_25,65222,4104,0.0629235534,0.06185029591,0.00107325749,3.066449971e-05,1.02168616,0,25.4292765
optimistic,0.9,catastrophic_50,43388,3047,0.07022679082,0.06879782428,0.001428966535,4.609569466e-05,1.026255333,0,20.690025
optimistic,0.9,catastrophic_100,19433,1672,0.08603921165,0.08341480986,0.002624401791,0.0001029177173,1.040669856,0,18.9807925
