queue_cell,threshold,latency_ms,policy,eligible_opportunities,baseline_fills,baseline_unfilled,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,adverse_fills_avoided,favourable_fills_sacrificed,non_negative_fills_sacrificed,prevented_fills_markout_censored,total_baseline_negative_ticks,total_baseline_positive_ticks,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,net_per_baseline_fill,net_per_cancelled_order,avoidance_efficiency_ticks,fraction_baseline_negative_removed,fraction_baseline_positive_removed,prevented_share_of_baseline_fills,baseline_negative_to_positive_ratio,random_match_adverse_avoided,random_match_favourable_sacrificed,random_match_net_markout,net_markout_lift_over_random,avoidance_efficiency_lift,catastrophic_25_avoidance_efficiency,catastrophic_25_random_match,catastrophic_25_avoidance_lift,catastrophic_50_avoidance_efficiency,catastrophic_50_random_match,catastrophic_50_avoidance_lift,catastrophic_100_avoidance_efficiency,catastrophic_100_random_match,catastrophic_100_avoidance_lift
midpoint,,,never,428534,305062,123472,0,0,0,305062,0,0,0,0,14796323,1950241.5,0,0,0,0,0,,,0,0,0,7.586918338,0,0,0,,,,0,,,0,,,0,
midpoint,0.1,0,cancel,428534,305062,123472,253139,0.5907092553,191273,113789,120316,70941,70941,16,14796323,1950241.5,8491555.5,1125272.5,7366283,17.18949488,24.146839,29.09975547,7.546221471,0.5738963322,0.5769913624,0.626997135,7.586918338,9277252.13,1222795.833,8054456.297,0.9145599316,0.994635916,1.295851482,97894.31668,0.9390637078,0.8565568571,65299.87062,0.9305531454,0.3787936454,29381.71274,0.9145824899
midpoint,0.1,25,cancel,428534,305062,123472,253139,0.5907092553,185228,119834,116139,69075,69075,14,14796323,1950241.5,8209427.5,1086240,7123187.5,16.62222251,23.34996656,28.1394313,7.557655306,0.5548288923,0.5569771744,0.607181491,7.586918338,8984053.46,1184150.542,7799902.918,0.9132405332,0.9961429621,1.28441549,94800.46055,0.9358709809,0.8504379298,63236.13074,0.9289625933,0.3766630474,28453.13185,0.9144160347
midpoint,0.1,50,cancel,428534,305062,123472,253139,0.5907092553,179345,125717,112069,67262,67262,14,14796323,1950241.5,7926953,1054300.5,6872652.5,16.03758978,22.52870728,27.14971814,7.518684663,0.5357380344,0.5405999718,0.5878968865,7.586918338,8698712.224,1146540.906,7552171.318,0.9100233841,0.9910064045,1.271951473,91789.51669,0.9320672239,0.8431655318,61227.69704,0.926263811,0.3742975231,27549.436,0.9138481093
midpoint,0.1,100,cancel,428534,305062,123472,253139,0.5907092553,169679,135383,105651,64014,64014,14,14796323,1950241.5,7475463.5,996725,6478738.5,15.11837684,21.23744845,25.59360075,7.500026085,0.5052244061,0.5110777306,0.5562115242,7.586918338,8229885.369,1084746.797,7145138.571,0.9067337792,0.9885470953,1.260599244,86842.4177,0.9292233236,0.83487987,57927.76161,0.9225973611,0.370075296,26064.62824,0.9088946056
midpoint,0.2,0,cancel,428534,305062,123472,189233,0.4415822315,117310,187752,74027,43273,43273,10,14796323,1950241.5,5320985.5,858935.5,4462050,10.41235935,14.62669883,23.57966105,6.194860382,0.3596153923,0.4404251986,0.3845447811,7.586918338,5689848.789,749955.1906,4939893.598,0.9032684432,0.8165186584,1.303815312,60039.74576,0.9397108414,0.8765280891,40049.18531,0.9470854327,0.3929239942,18020.15299,0.9435546976
midpoint,0.2,25,cancel,428534,305062,123472,189233,0.4415822315,111032,194030,69439,41585,41585,8,14796323,1950241.5,5010568.5,817603.5,4192965,9.784439508,13.74463224,22.15768391,6.128359896,0.3386360584,0.4192319259,0.3639653579,7.586918338,5385348.996,709820.3455,4675528.65,0.8967894999,0.8077535071,1.273223518,56826.63925,0.9317285114,0.8592761813,37905.90013,0.9426764668,0.386004569,17055.78063,0.941147189
midpoint,0.2,50,cancel,428534,305062,123472,189233,0.4415822315,105174,199888,65175,39991,39991,8,14796323,1950241.5,4721080.5,787139.5,3933941,9.179997386,12.89554582,20.78887403,5.997768502,0.3190711976,0.4036112963,0.344762704,7.586918338,5101220.326,672370.5329,4428849.793,0.8882534255,0.7905408013,1.242379535,53828.4905,0.923005634,0.8425395714,35906.00133,0.9383946625,0.3795103898,16155.92507,0.9394076745
midpoint,0.2,100,cancel,428534,305062,123472,189233,0.4415822315,96144,208918,58906,37230,37230,8,14796323,1950241.5,4291261,731950,3559311,8.305784372,11.66750038,18.80914534,5.862778878,0.2900221224,0.3753124934,0.3151621638,7.586918338,4663241.172,614642.331,4048598.841,0.8791463762,0.7727483831,1.209213,49206.89895,0.9148920367,0.8215954875,32823.19387,0.9319019996,0.3707493956,14768.81416,0.9346044885
midpoint,0.3,0,cancel,428534,305062,123472,148335,0.34614523,67464,237598,43315,24143,24143,6,14796323,1950241.5,3163535,614901.5,2548633.5,5.9473309,8.354477123,17.18160582,5.144783351,0.213805484,0.3152950545,0.2211484878,7.586918338,3272184.457,431292.9587,2840891.499,0.8971245475,0.6781123932,1.362216792,34528.3557,0.9524925045,0.9189827279,23031.95156,0.9633139397,0.423518204,10363.23929,0.9866606101
midpoint,0.3,25,cancel,428534,305062,123472,148335,0.34614523,62606,242456,39653,22949,22949,4,14796323,1950241.5,2906987,577320.5,2329666.5,5.436363276,7.636698442,15.70544039,5.03530881,0.1964668519,0.2960251333,0.2052238561,7.586918338,3036558.463,400236.081,2636322.382,0.8836804316,0.6636830115,1.312388339,32042.01111,0.9399534848,0.888230424,21373.44894,0.9537066317,0.4099525034,9616.995122,0.9782681472
midpoint,0.3,50,cancel,428534,305062,123472,148335,0.34614523,58119,246943,36279,21836,21836,4,14796323,1950241.5,2678543,546495.5,2132047.5,4.975212002,6.988898978,14.37319244,4.901308428,0.1810276107,0.2802193985,0.1905153706,7.586918338,2818926.961,371550.9822,2447375.978,0.8711565035,0.6460209811,1.264105147,29745.54585,0.927970868,0.8596354644,19841.60431,0.9460424525,0.3988825792,8927.740784,0.9756107632
midpoint,0.3,100,cancel,428534,305062,123472,148335,0.34614523,51140,253922,31317,19819,19819,4,14796323,1950241.5,2333502,497006,1836496,4.285531603,6.020074608,12.3807328,4.695118369,0.157708236,0.2548433104,0.1676380539,7.586918338,2480426.793,326934.6897,2153492.103,0.8527990409,0.618843931,1.208890459,26173.66463,0.9153857642,0.8233513295,17459.0004,0.9346468656,0.3819567082,7855.686844,0.963633117
midpoint,0.4,0,cancel,428534,305062,123472,122630,0.2861616581,36676,268386,23977,12697,12697,2,14796323,1950241.5,1791725,416818.5,1374906.5,3.208395367,4.506973992,11.21182826,4.2985736,0.121092585,0.2137266077,0.1202247412,7.586918338,1778884.103,234467.2796,1544416.824,0.8902431512,0.5665770222,1.426636213,18770.92929,0.9650028359,0.9629046231,12521.04612,0.9764359847,0.4554619201,5633.851597,1.026473612
midpoint,0.4,25,cancel,428534,305062,123472,122630,0.2861616581,33257,271805,21342,11913,11913,2,14796323,1950241.5,1603012,385509.5,1217502.5,2.841087288,3.99100019,9.928259806,4.158164714,0.1083385379,0.1976726985,0.1090171834,7.586918338,1613053.458,212609.8353,1400443.623,0.8693691629,0.5480703138,1.351884496,17021.07088,0.9461801855,0.9133719466,11353.8126,0.9583564909,0.4339796861,5108.654231,1.012008205
midpoint,0.4,50,cancel,428534,305062,123472,122630,0.2861616581,30314,274748,19074,11238,11238,2,14796323,1950241.5,1437361.5,360456.5,1076905,2.512997802,3.530118468,8.781741825,3.987614317,0.09714315509,0.1848265971,0.09936996414,7.586918338,1470310.086,193795.4279,1276514.658,0.8436291689,0.5255907786,1.27807439,15514.83124,0.9257593445,0.8665242926,10349.08366,0.9409528732,0.4118170493,4656.575889,0.9938633257
midpoint,0.4,100,cancel,428534,305062,123472,122630,0.2861616581,25648,279414,15738,9908,9908,2,14796323,1950241.5,1198540.5,320307,878233.5,2.04939048,2.878868886,7.16165294,3.741849226,0.08100259098,0.1642396595,0.08407471268,7.586918338,1243996.605,163965.9938,1080030.611,0.8131561188,0.4931975091,1.200444086,13126.75304,0.9060885021,0.8172184094,8756.129102,0.9247236885,0.3881711748,3939.825111,0.976185463
midpoint,0.5,0,cancel,428534,305062,123472,106019,0.2473992729,18676,286386,12413,6262,6262,1,14796323,1950241.5,956903.5,260092,696811.5,1.626035507,2.284163547,6.572515304,3.679096243,0.06467170932,0.1333639962,0.06122034209,7.586918338,905835.9558,119394.4518,786441.504,0.8860309336,0.4849263006,1.488022996,9558.454452,0.9748437937,1.02826573,6375.914968,1.009894271,0.5068668157,2868.846451,1.106368031
midpoint,0.5,25,cancel,428534,305062,123472,106019,0.2473992729,16524,288538,10724,5799,5799,1,14796323,1950241.5,828325.5,233528.5,594797,1.387980884,1.949757754,5.610286835,3.546999617,0.05598184765,0.1197433754,0.05416603838,7.586918338,801458.1995,105636.8559,695821.3435,0.854812813,0.4675151964,1.382479738,8457.051904,0.9479662761,0.9543024659,5641.230399,0.9809916647,0.4721503708,2538.274724,1.078685445
midpoint,0.5,50,cancel,428534,305062,123472,106019,0.2473992729,14697,290365,9287,5409,5409,1,14796323,1950241.5,721299.5,214869,506430.5,1.181774375,1.660090408,4.776790009,3.356926779,0.04874856409,0.1101755859,0.04817709187,7.586918338,712843.8125,93956.96391,618886.8486,0.818292554,0.4424624899,1.27953411,7521.985708,0.9201027852,0.8829728231,5017.499587,0.9518685387,0.4377888704,2257.626702,1.048889082
midpoint,0.5,100,cancel,428534,305062,123472,106019,0.2473992729,11976,293086,7277,4699,4699,0,14796323,1950241.5,578897,187990,390907,0.9121959985,1.281401813,3.687140984,3.07940316,0.03912438246,0.09639319028,0.03925759354,7.586918338,580868.0342,76561.78811,504306.2461,0.7751381289,0.4058832615,1.161949351,6129.366594,0.8907935128,0.8054905299,4088.560594,0.9257536761,0.3983826346,1839.650091,1.017584816
