queue_cell,threshold,latency_ms,policy,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,surviving_fills,baseline_fill_rate,surviving_fill_rate,fill_rate_reduction,cancel_too_late,cancel_too_late_rate,cancel_without_baseline_fill,unnecessary_cancel_rate,baseline_unfilled,baseline_negative_to_positive_ratio,baseline_observed,baseline_mean,baseline_median,baseline_p1,baseline_p5,baseline_p10,baseline_p25,baseline_p50,baseline_p75,baseline_p90,baseline_frac_favourable,baseline_cat_25_rate,baseline_cat_50_rate,baseline_cat_100_rate,surviving_observed,surviving_mean,surviving_median,surviving_p1,surviving_p5,surviving_p10,surviving_p25,surviving_p50,surviving_p75,surviving_p90,surviving_frac_favourable,surviving_cat_25_rate,surviving_cat_50_rate,surviving_cat_100_rate,baseline_cat_25_per_opportunity,surviving_cat_25_per_opportunity,baseline_cat_50_per_opportunity,surviving_cat_50_per_opportunity,baseline_cat_100_per_opportunity,surviving_cat_100_per_opportunity,catastrophic_25_avoided,catastrophic_50_avoided,catastrophic_100_avoided
conservative,0.8,25,cancel,428534,276955,81009,0.1890375093,276081,0.6462847755,0.6442452641,0.002039511451,80061,0.9892012108,74,0.0009134787493,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,276065,-56.95409052,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1280350642,0.6631916397,0.4410157028,0.1985075978,0.4285564273,0.4272333117,0.2850905646,0.2841058119,0.128370211,0.1278801682,567,422,210
conservative,0.8,50,cancel,428534,276955,81009,0.1890375093,276204,0.6462847755,0.6445322892,0.001752486384,80184,0.9907209489,74,0.0009134787493,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,276188,-56.95966335,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1280613205,0.6632330152,0.4411125755,0.1985785045,0.4285564273,0.4274503307,0.2850905646,0.2842948284,0.128370211,0.1279828438,474,341,166
conservative,0.8,100,cancel,428534,276955,81009,0.1890375093,276417,0.6462847755,0.6450293326,0.001255442975,80397,0.9933526904,74,0.0009134787493,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,276401,-56.96161193,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1280567002,0.6632935481,0.4411380567,0.198588283,0.4285564273,0.4278190295,0.2850905646,0.2845305157,0.128370211,0.128087853,316,240,121
conservative,0.9,0,cancel,428534,276955,71656,0.1672119365,276840,0.6462847755,0.6460164188,0.0002683567698,71540,0.9983950876,1,1.395556548e-05,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,276824,-56.94318592,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282114268,0.6631325319,0.4410780857,0.1985449239,0.4285564273,0.4283697443,0.2850905646,0.284927217,0.128370211,0.1282558677,80,70,49
conservative,0.9,25,cancel,428534,276955,71656,0.1672119365,276868,0.6462847755,0.6460817578,0.0002030177302,71568,0.9987858489,1,1.395556548e-05,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,276852,-56.94483695,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282201321,0.6631413174,0.4411021051,0.1985681881,0.4285564273,0.4284187486,0.2850905646,0.2849715542,0.128370211,0.1282838701,59,51,37
conservative,0.9,50,cancel,428534,276955,71656,0.1672119365,276888,0.6462847755,0.6461284285,0.0001563469876,71588,0.9990649641,1,1.395556548e-05,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,276872,-56.94687798,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282144818,0.6631548152,0.4411280303,0.1985863504,0.4285564273,0.4284584187,0.2850905646,0.2850088908,0.128370211,0.128304872,42,35,28
conservative,0.9,100,cancel,428534,276955,71656,0.1672119365,276908,0.6462847755,0.6461750993,0.0001096762451,71608,0.9993440793,1,1.395556548e-05,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,276892,-56.94903428,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282052208,0.6631502535,0.4411395057,0.1986008985,0.4285564273,0.4284864211,0.2850905646,0.2850368932,0.128370211,0.1283235403,30,23,20
midpoint,,,never,428534,305062,0,0,305062,0.7118735036,0.7118735036,0,0,,0,,123472,7.586918338,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,0.364339819,0.364339819,0.2430308914,0.2430308914,0.1093518834,0.1093518834,0,0,0
midpoint,0.1,0,cancel,428534,305062,253139,0.5907092553,113789,0.7118735036,0.2655308564,0.4463426473,38629,0.1680237666,23237,0.09179541675,123472,7.586918338,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,113784,-48.15965777,-33.5,-332.5,-188.5,-137.5,-77.5,-33.5,0.5,0.5,0.2579888209,0.5642533221,0.3812662589,0.1756749631,0.364339819,0.1498200843,0.2430308914,0.1012335077,0.1093518834,0.04664507367,91929,60765,26872
midpoint,0.1,25,cancel,428534,305062,253139,0.5907092553,119834,0.7118735036,0.2796370883,0.4322364153,44674,0.1943175788,23237,0.09179541675,123472,7.586918338,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,119827,-47.75963681,-33.5,-329.5,-187.5,-137.5,-77.5,-33.5,0.5,0.5,0.2605506272,0.5625693708,0.3789045874,0.1739424337,0.364339819,0.1573060714,0.2430308914,0.1059495863,0.1093518834,0.04863791438,88721,58744,26018
