queue_cell,threshold,latency_ms,file_index,segment_id,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
conservative,0.3,25,2,2,145274,97566,52990,0.3647590071,25634,71932,3937,1659479.5,229324.5,1430155,9.844535154,7.236381198,0.830589068,0.9474668156,0.4894540819,16742,0.9799767584,11487,0.98304361,5396,0.9897261174
conservative,0.3,25,2,3,236,189,134,0.5677966102,104,85,9,4152,172.5,3979.5,16.86228814,24.06956522,0.8230558097,0.8563618664,0.2061068702,54,0.8110298792,24,0.5815384615,15,1.135817308
conservative,0.3,25,2,4,34076,25052,13548,0.3975818758,6882,18170,808,338255.5,15335,322920.5,9.476479047,22.05774372,0.9605133013,0.8148941625,0.4604891816,4242,0.8946591491,2626,0.8388223933,901,0.7162784451
conservative,0.3,25,2,5,32396,26415,15283,0.4717557723,9112,17303,1911,605904.5,94887.5,511017,15.77407705,6.385503886,0.9079607494,0.8895099761,0.3711091173,5582,0.9392730748,4026,0.9110194378,2055,0.8950255165
conservative,0.3,25,2,6,68414,57344,33666,0.4920922618,20935,36409,3770,1454943,183320,1271623,18.58717514,7.936629937,0.9083354538,0.9253747881,0.3447164142,13886,0.9622000275,10342,0.9374933748,5323,0.9131626911
conservative,0.3,50,2,1,148138,70389,32714,0.2208346272,9419,60970,813,367381.5,8240.5,359141,2.424367819,44.58242825,0.5549259082,0.8538427791,0.6936810953,5562,0.9343037692,2532,0.8157026576,648,0.6884503742
conservative,0.3,50,2,2,145274,97566,52990,0.3647590071,24353,73213,3826,1576736,221438.5,1355297.5,9.329250244,7.120423955,0.81727954,0.9451036658,0.5149674361,15845,0.9762579714,10868,0.9789932658,5144,0.9931342532
conservative,0.3,50,2,3,236,189,134,0.5677966102,98,91,9,3796,172.5,3623.5,15.35381356,22.0057971,0.7524855139,0.8274930221,0.2519083969,49,0.7809917355,21,0.54,13,1.044642857
conservative,0.3,50,2,4,34076,25052,13548,0.3975818758,6583,18469,783,322781.5,14075.5,308706,9.05933795,22.93215161,0.9985897437,0.8144069556,0.4839291314,4034,0.8894338432,2492,0.8321740049,873,0.7255413155
conservative,0.3,50,2,5,32396,26415,15283,0.4717557723,8695,17720,1849,571853.5,90925.5,480928,14.84528954,6.28925329,0.8942747874,0.8772828969,0.3998895714,5294,0.9335339197,3816,0.9049120336,1933,0.8822660535
conservative,0.3,50,2,6,68414,57344,33666,0.4920922618,19978,37366,3652,1386588.5,177133,1209455.5,17.67847955,7.827951313,0.8958973475,0.9222956043,0.3746713409,13212,0.9593514262,9825,0.9332912396,5090,0.9150196738
conservative,0.3,100,2,1,148138,70389,32714,0.2208346272,8615,61774,778,333268,8071,325197,2.195230123,41.29203321,0.5139697393,0.8452963,0.7198282871,5069,0.9309555014,2320,0.817157321,557,0.6469971159
conservative,0.3,100,2,2,145274,97566,52990,0.3647590071,22326,75240,3626,1439089.5,208532.5,1230557,8.470593499,6.901032213,0.7920978397,0.9360263917,0.5553386843,14447,0.9709381611,9920,0.974727671,4687,0.9870598867
conservative,0.3,100,2,3,236,189,134,0.5677966102,92,97,9,3580,172.5,3407.5,14.43855932,20.75362319,0.7096675816,0.8289153603,0.2977099237,43,0.7300574919,21,0.5752173913,13,1.112771739
conservative,0.3,100,2,4,34076,25052,13548,0.3975818758,6215,18837,757,302337.5,13579.5,288758,8.473940603,22.26425863,0.9695060756,0.8068878035,0.5127783004,3787,0.8844143565,2309,0.8167191944,821,0.7227261746
conservative,0.3,100,2,5,32396,26415,15283,0.4717557723,7973,18442,1727,518052.5,82730,435322.5,13.43753859,6.261966638,0.890394873,0.8660012855,0.4497204776,4820,0.9269173815,3484,0.9009982886,1745,0.8685822878
conservative,0.3,100,2,6,68414,57344,33666,0.4920922618,18442,38902,3452,1275894,166859.5,1109034.5,16.21063671,7.64651698,0.8751324587,0.9161557096,0.4227494679,12096,0.9514696282,9028,0.9290095357,4705,0.9162548119
conservative,0.4,0,2,1,148138,70389,27244,0.1839095978,4534,65855,320,186307.5,3775,182532.5,1.232178779,49.35298013,0.6143058689,0.9015221581,0.8288281486,2651,0.9251030764,1265,0.8466072486,403,0.889459057
conservative,0.4,0,2,2,145274,97566,44559,0.306723846,16356,81210,2535,1077906.5,178266.5,899640,6.192711703,6.046601577,0.6940266178,0.9340904549,0.6212398398,10584,0.9709515236,7142,0.9579112801,3538,1.017045064
conservative,0.4,0,2,3,236,189,98,0.4152542373,59,130,6,1660.5,108,1552.5,6.578389831,15.375,0.525746226,0.5889002619,0.3854166667,30,0.7942288836,6,0.2562711864,3,0.4004237288
conservative,0.4,0,2,4,34076,25052,10838,0.3180537622,3845,21207,384,188005.5,9502,178503.5,5.238393591,19.78588718,0.8615843966,0.8062517134,0.6329355609,2363,0.8920084925,1456,0.8324439347,467,0.6644958851
conservative,0.4,0,2,5,32396,26415,12639,0.3901407581,6229,20186,1347,412862.5,76991,335871.5,10.36768428,5.362477432,0.7624956644,0.8552321315,0.4913025725,3786,0.9319187091,2752,0.9109565912,1417,0.9027943264
conservative,0.4,0,2,6,68414,57344,27252,0.3983395212,13988,43356,2626,954735.5,138321,816414.5,11.93344199,6.902317797,0.7899599727,0.8891751964,0.4692266829,9130,0.9468394036,6705,0.9096614651,3374,0.8662716725
conservative,0.4,25,2,1,148138,70389,27244,0.1839095978,4203,66186,304,172097,3585,168512,1.137533921,48.00474198,0.5975240938,0.897819766,0.8413243733,2458,0.9253039195,1185,0.8555234797,358,0.8523659022
conservative,0.4,25,2,2,145274,97566,44559,0.306723846,15295,82271,2405,1008396,165202,843194,5.804163168,6.104018111,0.7006168657,0.9362143756,0.6458096936,9866,0.967868706,6664,0.9558022544,3315,1.019045373
conservative,0.4,25,2,3,236,189,98,0.4152542373,52,137,6,1581,108,1473,6.241525424,14.63888889,0.5005749975,0.6339595573,0.4583333333,28,0.8410680229,6,0.2907692308,3,0.4543269231
conservative,0.4,25,2,4,34076,25052,10838,0.3180537622,3575,21477,374,174393.5,8994,165399.5,4.853841413,19.38998221,0.8443445558,0.8034861683,0.6587112172,2162,0.877771054,1333,0.8196794851,447,0.6840742398
conservative,0.4,25,2,5,32396,26415,12639,0.3901407581,5817,20598,1275,381899,71425.5,310473.5,9.583698605,5.346815913,0.7602687383,0.8465539879,0.5249489588,3503,0.9233297427,2541,0.9006855289,1309,0.8930543382
conservative,0.4,25,2,6,68414,57344,27252,0.3983395212,13121,44223,2519,893246.5,131293,761953.5,11.13739147,6.803458676,0.7786456939,0.8846954354,0.5021249146,8501,0.9398623445,6258,0.9051181264,3152,0.8627479414
conservative,0.4,50,2,1,148138,70389,27244,0.1839095978,3888,66501,302,158915.5,3584,155331.5,1.048559451,44.34026228,0.5519116226,0.8946455358,0.8532165509,2257,0.9184747385,1113,0.8686441135,319,0.8210448062
