queue_cell,threshold,latency_ms,statistic,blocks,block_mean,block_median,block_worst,block_best,frac_blocks_positive,block_bootstrap_p05,block_bootstrap_p95
optimistic,0.3,50,adverse_markout_avoided,120,4812.286505,2177.25,0,30548.5,0.9916666667,3947.081755,5654.757803
optimistic,0.3,100,adverse_markout_avoided,120,3599.02982,1390,0,24117,0.9916666667,2889.033393,4267.795858
optimistic,0.4,0,adverse_markout_avoided,120,4016.014265,1425.75,0,27523.5,0.975,3208.695642,4850.445017
optimistic,0.4,25,adverse_markout_avoided,120,3285.040732,1254.5,0,26332,0.9666666667,2582.824404,3976.247106
optimistic,0.4,50,adverse_markout_avoided,120,2752.120184,988,0,25603.5,0.9583333333,2131.040812,3337.039631
optimistic,0.4,100,adverse_markout_avoided,120,2017.086259,715.75,0,22717,0.925,1527.560314,2487.274728
optimistic,0.5,0,adverse_markout_avoided,120,2140.433287,719.75,0,20890,0.8916666667,1661.816026,2647.953675
optimistic,0.5,25,adverse_markout_avoided,120,1712.31219,605.5,0,20206,0.8666666667,1306.361209,2152.018495
optimistic,0.5,50,adverse_markout_avoided,120,1420.421245,468,0,19864,0.85,1057.349663,1808.89932
optimistic,0.5,100,adverse_markout_avoided,120,1048.490524,298,0,18397,0.8416666667,762.9957723,1374.723273
optimistic,0.6,0,adverse_markout_avoided,120,957.3072942,284.25,0,12365.5,0.8166666667,721.3566356,1217.680555
optimistic,0.6,25,adverse_markout_avoided,120,753.6271101,224.25,0,11758.5,0.775,553.1245628,981.8011551
optimistic,0.6,50,adverse_markout_avoided,120,632.1928528,153.5,0,11618,0.725,448.3820444,845.9524918
optimistic,0.6,100,adverse_markout_avoided,120,476.988813,108,0,11032,0.6833333333,315.2854944,668.1982585
optimistic,0.7,0,adverse_markout_avoided,120,356.6647547,80.75,0,6071.5,0.7,252.8429802,475.8538367
optimistic,0.7,25,adverse_markout_avoided,120,288.5336706,71,0,5841,0.6583333333,194.5488514,397.4459185
optimistic,0.7,50,adverse_markout_avoided,120,242.0655164,49,0,5841,0.6083333333,157.4143649,351.1010193
optimistic,0.7,100,adverse_markout_avoided,120,193.6880388,1,0,5841,0.5083333333,112.1918141,297.9840894
optimistic,0.8,0,adverse_markout_avoided,120,143.3209454,0,0,2193,0.4416666667,97.92739924,200.0747611
optimistic,0.8,25,adverse_markout_avoided,120,110.9753999,0,0,2193,0.375,67.31444199,163.2973103
optimistic,0.8,50,adverse_markout_avoided,120,91.42649591,0,0,2193,0.3166666667,52.6061194,138.9722597
optimistic,0.8,100,adverse_markout_avoided,120,75.80591038,0,0,2193,0.25,38.32558562,123.7020748
optimistic,0.9,0,adverse_markout_avoided,120,49.97118548,0,0,1780.5,0.125,20.00518357,86.1596068
optimistic,0.9,25,adverse_markout_avoided,120,43.56982643,0,0,1780.5,0.08333333333,14.13035678,80.40896231
optimistic,0.9,50,adverse_markout_avoided,120,39.73069115,0,0,1780.5,0.05833333333,11.57332773,77.92774051
optimistic,0.9,100,adverse_markout_avoided,120,37.83270406,0,0,1780.5,0.03333333333,8.877259766,75.91302075
conservative,0.1,0,favourable_markout_sacrificed,120,7483.786087,2669,9.5,71208.5,1,5859.572362,9209.5674
conservative,0.1,25,favourable_markout_sacrificed,120,7249.939209,2579,9.5,65085,1,5675.770778,8905.737747
