queue_cell,threshold,population,fills,fills_with_a_crossing,crossing_rate,lead_p1_ms,lead_p5_ms,lead_p10_ms,lead_p25_ms,lead_p50_ms,lead_p75_ms,lead_p90_ms,lead_mean_ms,frac_lead_le_0ms,frac_lead_0_25ms,frac_lead_25_50ms,frac_lead_50_100ms,frac_lead_100_250ms,frac_lead_250_500ms,frac_lead_gt_100ms,frac_lead_gt_250ms,frac_lead_gt_500ms
midpoint,0.6,catastrophic_100,46861,15202,0.3244062227,-18092.22111,-759.7318953,-190.7563165,-64.66462375,-31.657782,-12.201096,-0.1900627,-502.3991795,0.9056703065,0.01460334167,0.01197210893,0.01822128667,0.0201289304,0.01243257466,0.04953295619,0.02940402579,0.01697145112
midpoint,0.7,all_fills,305062,86111,0.2822737673,-21166.1331,-10919.77205,-5527.538664,-731.067256,-51.037501,-20.7665005,-6.690114,-1643.57638,0.9684941529,0.004889038567,0.004320005574,0.005736781596,0.006828395908,0.004122585965,0.01656002137,0.00973162546,0.005609039496
midpoint,0.7,adverse_fills,204744,64050,0.31282968,-15756.54901,-799.5437544,-376.791924,-68.4602445,-36.865144,-16.377387,-5.66452,-483.2961034,0.9704293521,0.005433255269,0.004668227947,0.006245120999,0.006541764247,0.002966432475,0.01322404372,0.006682279469,0.003715846995
midpoint,0.7,catastrophic_25,156132,50885,0.3259101273,-15762.79513,-758.9704444,-306.65086,-66.706707,-36.164062,-16.371731,-5.6498314,-477.1472951,0.9712095903,0.005266778029,0.004618256854,0.006210081556,0.00624938587,0.002751301955,0.01269529331,0.006445907438,0.003694605483
midpoint,0.7,catastrophic_50,104147,33273,0.319481118,-16987.67586,-771.9541576,-286.62542,-67.172902,-35.709372,-16.364518,-5.578631,-508.8489301,0.9691641872,0.0058606077,0.005019084543,0.006341478075,0.006882457248,0.002825113455,0.0136146425,0.006732185255,0.0039070718
midpoint,0.7,catastrophic_100,46861,14253,0.3041548409,-17451.39652,-713.6624012,-208.557766,-67.146699,-34.450598,-14.76279,-4.683114,-501.1001137,0.9619027573,0.00610397811,0.005472532099,0.008910404827,0.007998316144,0.003858836736,0.01761032765,0.009612011506,0.00575317477
midpoint,0.8,all_fills,305062,80996,0.2655066839,-20994.01486,-10794.67109,-5517.901194,-771.566037,-53.133366,-22.587641,-8.90368,-1655.153713,0.9903822411,0.001691441553,0.001876635883,0.00161736382,0.002234678256,0.001086473406,0.004432317645,0.00219763939,0.001111165984
midpoint,0.8,adverse_fills,204744,60653,0.2962382292,-15287.09109,-789.9455208,-385.932689,-69.67155,-38.174596,-17.793372,-7.0819514,-478.0158947,0.9906187658,0.001912518754,0.002110365522,0.00181359537,0.002159827214,0.0005770530724,0.003544754588,0.001384927374,0.0008078743014
midpoint,0.8,catastrophic_25,156132,48426,0.3101606333,-15136.84685,-748.696651,-312.251441,-67.63885475,-37.153704,-17.625346,-7.00467,-462.8759483,0.9906248709,0.001817205633,0.002395407426,0.001817205633,0.001961756081,0.0005575517284,0.00334531037,0.001383554289,0.0008260025606
midpoint,0.8,catastrophic_50,104147,31528,0.3027259547,-16425.94998,-752.616479,-291.5743016,-68.040602,-36.8684335,-17.489474,-6.745488,-486.4735778,0.9898820096,0.002061659477,0.002664298401,0.001776198934,0.002029941639,0.0006026389241,0.003615833545,0.001585891906,0.0009832529815
midpoint,0.8,catastrophic_100,46861,13524,0.2885981947,-15632.40649,-682.4182436,-215.743071,-68.23088775,-35.867793,-15.99081675,-6.114832,-475.070862,0.987725525,0.002957704821,0.003031647442,0.002144335995,0.001774622893,0.0009612540668,0.004140786749,0.002366163857,0.00140490979
midpoint,0.9,all_fills,305062,71656,0.2348899568,-20798.19498,-10492.86185,-5466.445807,-814.391172,-54.613593,-23.5651865,-9.926571,-1652.971001,0.9988137769,0.0002791113096,0.0002651557441,0.0002232890477,6.97778274e-05,0.0002232890477,0.0004186669644,0.000348889137,0.0001256000893
midpoint,0.9,adverse_fills,204744,53592,0.2617512601,-15522.57927,-797.049682,-409.299927,-71.688327,-39.130043,-18.469111,-7.8397677,-482.7968642,0.9986751754,0.0002798925213,0.0003545305269,0.0002985520227,5.597850425e-05,0.000223914017,0.0003918495298,0.0003358710255,0.0001119570085
midpoint,0.9,catastrophic_25,156132,43238,0.2769323393,-15181.59809,-747.6130849,-338.415135,-69.523708,-38.5311265,-18.291517,-7.86987,-461.6855601,0.9985892039,0.0003237892594,0.0004394282807,0.0002312780425,0,0.000277533651,0.0004163004764,0.0004163004764,0.0001387668255
midpoint,0.9,catastrophic_50,104147,28278,0.271520063,-16093.9392,-743.1064736,-306.991739,-69.62753875,-37.851493,-17.94522675,-7.61477,-476.893048,0.9981257515,0.0004597213381,0.0006365372374,0.0003182686187,0,0.0003536317986,0.0004597213381,0.0004597213381,0.0001060895396
midpoint,0.9,catastrophic_100,46861,12265,0.2617315038,-15588.68338,-679.828973,-223.9435724,-69.431808,-36.623286,-16.484917,-6.992419,-472.5037858,0.9971463514,0.0004891969018,0.0007337953526,0.0005707297187,0,0.0008153281696,0.00105992662,0.00105992662,0.0002445984509
optimistic,0.1,all_fills,414222,252206,0.608866743,-25747.32093,-16928.57388,-10345.33508,-2472.343665,-87.635813,80.576294,437.1756035,-2616.347848,0.6540526395,0.03397619406,0.03000325131,0.04856347589,0.0814968716,0.06275425644,0.2334044392,0.1519075676,0.08915331118
