signal,horizon_s,grouping,key,rows,raw_spread_ticks,demeaned_spread_ticks,demeaned_incremental_spread_ticks
obi_l10,60,segment_key,2:4,168573,52.20860192621954,45.40210228998586,-22.60762495146972
obi_l10,60,segment_key,2:5,160178,114.40392249247255,92.50087387854327,9.155023880235806
obi_l10,60,segment_key,2:6,340272,71.21443928857258,76.97897453000823,-9.171484140678965
obi_l10,120,utc_day,2026-08-18,537670,84.79183499854321,60.87961624189825,18.614806957841516
obi_l10,120,utc_day,2026-08-19,855574,160.228205658773,154.34244269078994,83.19779437476195
obi_l10,120,utc_day,2026-08-20,724226,47.4923151746845,37.38968833142965,-41.748418910759156
obi_l10,120,segment_key,2:1,732281,80.95733965480665,61.503059977487226,18.981590037219295
obi_l10,120,segment_key,2:2,719766,166.78388936245688,156.86824890088886,78.4146964132496
obi_l10,120,segment_key,2:4,167373,29.226456415752203,19.207602906104405,-48.95231392255068
obi_l10,120,segment_key,2:5,158978,36.691333586753444,-6.8499500363250085,-91.16729221205463
obi_l10,120,segment_key,2:6,339072,61.99370368204338,73.22671557617471,-13.00543396527564
obi_l10,300,utc_day,2026-08-18,532270,75.91782128535128,22.27639972195042,-19.897239334545464
obi_l10,300,utc_day,2026-08-19,846574,149.13917341585733,139.03105300503734,67.71666545778874
obi_l10,300,utc_day,2026-08-20,711626,51.08826022093305,34.06300503164392,-45.454171935019716
obi_l10,300,segment_key,2:1,723281,65.8301621844078,20.550647301830253,-21.954035911620696
obi_l10,300,segment_key,2:2,712566,148.00343966075692,133.08344432866642,54.318200676503565
obi_l10,300,segment_key,2:4,163773,40.4507527843537,34.010112088384425,-33.84621192186911
obi_l10,300,segment_key,2:5,155378,162.22177060653013,60.74764309824246,-25.10194060719698
obi_l10,300,segment_key,2:6,335472,31.868124699877917,56.603268268467836,-29.615693295124558
obi_l10,600,utc_day,2026-08-18,523270,133.9760549110762,39.83242113332796,-2.3917071520517013
obi_l10,600,utc_day,2026-08-19,831574,132.60878646726417,115.13638239885907,43.728706357449724
obi_l10,600,utc_day,2026-08-20,690626,-10.433547112396468,-25.8444124043133,-105.1713515788575
obi_l10,600,segment_key,2:1,708281,105.73253217385476,25.303039044460508,-17.117831469748882
obi_l10,600,segment_key,2:2,700566,108.94279419390273,95.6347713038894,17.236415053166745
obi_l10,600,segment_key,2:4,157773,-48.68196179692528,-40.96188021246431,-108.69445166373688
obi_l10,600,segment_key,2:5,149378,209.92555280150123,33.09904986650632,-52.81675628136334
