signal,horizon_s,leg,rows,raw_mean_ticks,raw_mean_bps,demeaned_mean_ticks,demeaned_mean_bps,frac_favourable_for_leg
obi_l1,600,up_leg_positive_signal,1006278,227.87745781980726,3.3739690949166508,5.830118257486561,0.10057427460653062,0.5117224067305456
obi_l1,600,down_leg_negative_signal,1039037,194.66807630527114,2.874483740255866,-5.504669681515916,-0.06245707876935751,0.49956161330154747
obi_l5,1,up_leg_top_decile,213648,20.35957509548416,0.2948295912057611,19.85981435197522,0.2875045690580295,0.38727252302853293
obi_l5,1,down_leg_bottom_decile,213649,-19.16658865709645,-0.2770463878815355,-19.560443299691215,-0.28274881610069297,0.3990797991097548
obi_l5,1,up_leg_positive_signal,1051450,8.502501307717914,0.12310858148303062,8.057615677893839,0.11658488256831633,0.2085786295116268
obi_l5,1,down_leg_negative_signal,1084948,-7.440477792484064,-0.10753648158687407,-7.8092882139754725,-0.11290832610954217,0.2074412782916785
obi_l5,2,up_leg_top_decile,213632,27.1773048981426,0.39496788364996666,26.176430562666326,0.38029802370988036,0.4732343469143199
obi_l5,2,down_leg_bottom_decile,213633,-24.603123113002205,-0.3567347956510006,-25.393486584146043,-0.3681771973935748,0.47678963456020373
obi_l5,2,up_leg_positive_signal,1051360,11.93966291279866,0.17354512638990585,11.048816053446599,0.16048202366000122,0.2845999467356567
obi_l5,2,down_leg_negative_signal,1084878,-9.968748559745888,-0.1445884330158068,-10.708113712952155,-0.15535722346655487,0.27956323199474964
obi_l5,5,up_leg_top_decile,213584,37.44617106150273,0.5474558733498781,34.939493499157095,0.5107140253656128,0.55975166679152
obi_l5,5,down_leg_bottom_decile,213585,-30.74232272865604,-0.44784493168903916,-32.727416598862305,-0.4765837540265053,0.551452583280661
obi_l5,5,up_leg_positive_signal,1051080,17.473310309396048,0.2555907590735287,15.246429975936735,0.22293280543833532,0.38562621303801803
obi_l5,5,down_leg_negative_signal,1084678,-12.924089914241831,-0.18861474067722306,-14.773820307129855,-0.21555876895395326,0.37316143592845064
obi_l5,10,up_leg_top_decile,213504,44.94462633018585,0.6600039880415562,39.946506232221864,0.5867505893059491,0.5936844274580336
obi_l5,10,down_leg_bottom_decile,213505,-32.32693145359593,-0.47245314514627895,-36.28533331062759,-0.5297421766520619,0.5765298236575256
obi_l5,10,up_leg_positive_signal,1050633,22.433329240562593,0.3294908997018399,17.991559674854404,0.2643530074329028,0.4443483119224315
obi_l5,10,down_leg_negative_signal,1084325,-13.745586885850644,-0.20144865984946642,-17.43070102219184,-0.25512275995507283,0.4292605999123879
obi_l5,30,up_leg_top_decile,213184,63.43475823701591,0.9346153808149431,47.99458544430935,0.7086344201514596,0.600476583608526
obi_l5,30,down_leg_bottom_decile,213185,-33.480470014306825,-0.4922467588177598,-45.78433631554887,-0.6701233779635332,0.5872974177357694
obi_l5,30,up_leg_positive_signal,1049019,35.246024142556045,0.5200412146216233,21.635856194480063,0.3205888551268121,0.5045742736785511
obi_l5,30,down_leg_negative_signal,1082739,-9.578348521665886,-0.1414465044022396,-20.962243926630673,-0.3071510108241687,0.4903056045824525
obi_l5,60,up_leg_top_decile,212704,70.77900744696856,1.0464230384978808,40.82244580358296,0.6080604851600844,0.5771118549721679
obi_l5,60,down_leg_bottom_decile,212705,-24.76619966620437,-0.36399678626765053,-48.57134549901041,-0.7080786841565998,0.5643496861850921
obi_l5,60,up_leg_positive_signal,1046171,46.219655773291365,0.683741200537234,19.60532483232155,0.2937475272821324,0.5190604595233476
obi_l5,60,down_leg_negative_signal,1080787,3.4065620700471047,0.04826058115681937,-18.97800810520817,-0.27760713366103223,0.5090633029449836
obi_l5,120,up_leg_top_decile,211747,92.16507199629747,1.3672205155555213,34.25518586502942,0.5194379189065558,0.5601118315725843
obi_l5,120,down_leg_bottom_decile,211747,0.7942757158306847,0.007180407621238605,-46.20964487171724,-0.6725244549933015,0.5257831279782004
obi_l5,120,up_leg_positive_signal,1041527,70.40582049241162,1.0409812164601389,18.235720937864404,0.2763194269817731,0.5201487815486301
obi_l5,120,down_leg_negative_signal,1075855,26.903467474706165,0.3940273994941927,-17.65449632575461,-0.2550691818819527,0.5121136212593704
obi_l5,300,up_leg_top_decile,209047,165.49620659468923,2.447728303576018,32.52968429339772,0.4943294752272064,0.5367740268934738
obi_l5,300,down_leg_bottom_decile,209047,68.11372322970432,1.0001379139002107,-44.037344406114734,-0.629166206296504,0.5137361454601118
obi_l5,300,up_leg_positive_signal,1028259,137.81522894523656,2.035999838191904,12.239645669256616,0.19058095864195587,0.518045550780494
