signal,horizon_s,gross_decile_spread_bps,gross_edge_per_trade_bps,break_even_all_in_cost_bps,hurdle_bps_one_way,hurdle_bps_round_trip,net_of_one_way_bps,net_of_round_trip_bps,clears_one_way,clears_round_trip
obi_l5,1,0.5035122654775527,0.25175613273877634,0.25175613273877634,2.0,4.0,-1.7482438672612237,-3.7482438672612237,False,False
obi_l5,1,0.5035122654775527,0.25175613273877634,0.25175613273877634,3.0,6.0,-2.7482438672612237,-5.748243867261223,False,False
obi_l5,1,0.5035122654775527,0.25175613273877634,0.25175613273877634,5.0,10.0,-4.748243867261223,-9.748243867261223,False,False
obi_l5,1,0.5035122654775527,0.25175613273877634,0.25175613273877634,7.5,15.0,-7.248243867261223,-14.748243867261223,False,False
obi_l5,1,0.5035122654775527,0.25175613273877634,0.25175613273877634,10.0,20.0,-9.748243867261223,-19.748243867261223,False,False
obi_l5,2,0.7484752211034551,0.37423761055172755,0.37423761055172755,1.0,2.0,-0.6257623894482724,-1.6257623894482724,False,False
obi_l5,2,0.7484752211034551,0.37423761055172755,0.37423761055172755,2.0,4.0,-1.6257623894482724,-3.6257623894482727,False,False
obi_l5,2,0.7484752211034551,0.37423761055172755,0.37423761055172755,3.0,6.0,-2.6257623894482727,-5.625762389448273,False,False
obi_l5,2,0.7484752211034551,0.37423761055172755,0.37423761055172755,5.0,10.0,-4.625762389448273,-9.625762389448273,False,False
obi_l5,2,0.7484752211034551,0.37423761055172755,0.37423761055172755,7.5,15.0,-7.125762389448273,-14.625762389448273,False,False
obi_l5,2,0.7484752211034551,0.37423761055172755,0.37423761055172755,10.0,20.0,-9.625762389448273,-19.625762389448273,False,False
obi_l5,2,0.6711764079949278,0.3355882039974639,0.3355882039974639,1.0,2.0,-0.6644117960025361,-1.6644117960025362,False,False
obi_l5,2,0.6711764079949278,0.3355882039974639,0.3355882039974639,2.0,4.0,-1.6644117960025362,-3.664411796002536,False,False
obi_l5,2,0.6711764079949278,0.3355882039974639,0.3355882039974639,3.0,6.0,-2.664411796002536,-5.664411796002536,False,False
obi_l5,2,0.6711764079949278,0.3355882039974639,0.3355882039974639,5.0,10.0,-4.664411796002536,-9.664411796002536,False,False
obi_l5,2,0.6711764079949278,0.3355882039974639,0.3355882039974639,7.5,15.0,-7.164411796002536,-14.664411796002536,False,False
obi_l5,2,0.6711764079949278,0.3355882039974639,0.3355882039974639,10.0,20.0,-9.664411796002536,-19.664411796002536,False,False
obi_l5,5,0.9872977793921182,0.4936488896960591,0.4936488896960591,1.0,2.0,-0.5063511103039409,-1.5063511103039409,False,False
obi_l5,5,0.9872977793921182,0.4936488896960591,0.4936488896960591,2.0,4.0,-1.5063511103039409,-3.506351110303941,False,False
obi_l5,5,0.9872977793921182,0.4936488896960591,0.4936488896960591,3.0,6.0,-2.506351110303941,-5.506351110303941,False,False
obi_l5,5,0.9872977793921182,0.4936488896960591,0.4936488896960591,5.0,10.0,-4.506351110303941,-9.50635111030394,False,False
obi_l5,5,0.9872977793921182,0.4936488896960591,0.4936488896960591,7.5,15.0,-7.006351110303941,-14.50635111030394,False,False
obi_l5,5,0.9872977793921182,0.4936488896960591,0.4936488896960591,10.0,20.0,-9.50635111030394,-19.506351110303942,False,False
obi_l5,5,0.9120620635468955,0.4560310317734477,0.4560310317734477,1.0,2.0,-0.5439689682265523,-1.5439689682265523,False,False
obi_l5,5,0.9120620635468955,0.4560310317734477,0.4560310317734477,2.0,4.0,-1.5439689682265523,-3.5439689682265523,False,False
obi_l5,5,0.9120620635468955,0.4560310317734477,0.4560310317734477,3.0,6.0,-2.5439689682265523,-5.543968968226553,False,False
obi_l5,5,0.9120620635468955,0.4560310317734477,0.4560310317734477,5.0,10.0,-4.543968968226553,-9.543968968226553,False,False
obi_l5,5,0.9120620635468955,0.4560310317734477,0.4560310317734477,7.5,15.0,-7.043968968226553,-14.543968968226553,False,False
obi_l5,5,0.9120620635468955,0.4560310317734477,0.4560310317734477,10.0,20.0,-9.543968968226553,-19.54396896822655,False,False
obi_l5,10,1.116492765958011,0.5582463829790055,0.5582463829790055,1.0,2.0,-0.44175361702099447,-1.4417536170209946,False,False
obi_l5,10,1.116492765958011,0.5582463829790055,0.5582463829790055,2.0,4.0,-1.4417536170209946,-3.4417536170209946,False,False
obi_l5,10,1.116492765958011,0.5582463829790055,0.5582463829790055,3.0,6.0,-2.4417536170209946,-5.441753617020995,False,False
obi_l5,10,1.116492765958011,0.5582463829790055,0.5582463829790055,5.0,10.0,-4.441753617020995,-9.441753617020995,False,False
obi_l5,10,1.116492765958011,0.5582463829790055,0.5582463829790055,7.5,15.0,-6.941753617020995,-14.441753617020995,False,False
obi_l5,10,1.116492765958011,0.5582463829790055,0.5582463829790055,10.0,20.0,-9.441753617020995,-19.441753617020993,False,False
obi_l5,10,1.0701496717719106,0.5350748358859553,0.5350748358859553,1.0,2.0,-0.4649251641140447,-1.4649251641140446,False,False
obi_l5,10,1.0701496717719106,0.5350748358859553,0.5350748358859553,2.0,4.0,-1.4649251641140446,-3.4649251641140446,False,False
obi_l5,10,1.0701496717719106,0.5350748358859553,0.5350748358859553,3.0,6.0,-2.4649251641140446,-5.464925164114045,False,False
obi_l5,10,1.0701496717719106,0.5350748358859553,0.5350748358859553,5.0,10.0,-4.464925164114045,-9.464925164114044,False,False
obi_l5,10,1.0701496717719106,0.5350748358859553,0.5350748358859553,7.5,15.0,-6.964925164114045,-14.464925164114044,False,False
obi_l5,10,1.0701496717719106,0.5350748358859553,0.5350748358859553,10.0,20.0,-9.464925164114044,-19.464925164114046,False,False
obi_l5,30,1.3787577981149928,0.6893788990574964,0.6893788990574964,1.0,2.0,-0.3106211009425036,-1.3106211009425035,False,False
obi_l5,30,1.3787577981149928,0.6893788990574964,0.6893788990574964,2.0,4.0,-1.3106211009425035,-3.3106211009425035,False,False
