signal,horizon_s,population,purge_s,rows,anchors,bootstrap_block_s,bootstrap_blocks,demean_blocks,mid_ticks_mean,raw_signed_markout_mean_ticks,raw_signed_markout_median_ticks,raw_signed_markout_mean_bps,raw_hit_rate,raw_moved_rows,raw_unconditional_mean_ticks,demeaned_signed_markout_mean_ticks,demeaned_signed_markout_median_ticks,demeaned_signed_markout_mean_bps,demeaned_hit_rate,demeaned_moved_rows,demeaned_unconditional_mean_ticks
obi_l10,2,full_corpus,62.0,2570219,128515,1800.0,143,143,668551.8518781862,9.90371851581519,0.0,0.1445313015317717,0.7080965538258915,938461,0.6616936144351901,9.836867319665023,0.15955555555555556,0.14351310919268795,0.5548511624884883,2570219,1.9533007707851213e-16
obi_l10,5,oof_scored_purged,65.0,2135848,42720,1800.0,120,120,673766.9583914679,15.324921295897461,0.0,0.22391756546043512,0.6467527133963157,1251568,2.0353964795247603,15.16006148795229,0.8222222222222222,0.2214108836123648,0.5690554758578326,2135848,-5.791202344039381e-17
obi_l10,5,full_corpus,65.0,2569979,51404,1800.0,143,143,668550.498954077,14.189606024018095,0.0,0.20866636292849572,0.6616244463544847,1398458,1.6524557204553034,14.022419891449555,0.7596666666666667,0.2061192565211327,0.5704151668165381,2569979,1.6137469761755067e-16
obi_l10,10,oof_scored_purged,70.0,2135048,21352,1800.0,120,120,673765.0010957599,18.213272020113834,0.0,0.26726773079969984,0.6114883514244587,1523491,4.0575865273286595,17.882200435547226,1.8666666666666667,0.2622343786989016,0.563884746385093,2135048,6.815732118606632e-17
obi_l10,10,full_corpus,70.0,2569579,25699,1800.0,143,143,668548.2549575241,17.40828808921617,0.0,0.25743836285192273,0.6271941951035497,1746939,3.2930279629464594,17.074300055902622,1.9584444444444444,0.25234880010791333,0.5711484254813727,2569579,5.436625462471548e-16
obi_l10,30,oof_scored_purged,90.0,2131848,7108,1800.0,120,120,673757.235746404,22.58728131649161,0.0,0.33330215901242244,0.570186159806337,1860552,12.479759344943917,21.61603909039873,7.449611111111111,0.31853220931981335,0.550651828835827,2131848,1.6109272302221251e-15
obi_l10,30,full_corpus,90.0,2567979,8563,1800.0,143,143,668539.2743760755,22.51652583607576,1.0,0.3352357641840472,0.5824959264039241,2207509,9.852075503732701,21.5215204372942,8.61588888888889,0.32007527687482423,0.5614119118575347,2567979,-7.026683194517905e-16
obi_l10,60,oof_scored_purged,120.0,2127048,3547,1800.0,120,120,673745.7859688639,21.640900440422595,8.0,0.32098670202491436,0.5464190332246307,2002099,24.465655217935844,19.791255136091774,11.532972222222213,0.2928661954303597,0.536427010579921,2127048,3.530145186115826e-15
obi_l10,60,full_corpus,120.0,2565579,4279,1800.0,143,143,668525.8017658002,22.06111018214602,10.0,0.33019322419126823,0.5535328553465404,2401740,19.686128160543877,20.149117147348438,12.793000000000006,0.3010354956941993,0.5426420312919618,2565579,4.083826288110455e-16
obi_l10,120,oof_scored_purged,180.0,2117470,1767,1800.0,120,120,673722.7158760219,21.432814396425922,12.0,0.31860970396769056,0.5258599681319711,2080455,48.30353605954276,18.07633755708716,12.790333245890167,0.2675530428312414,0.5195761923427487,2117470,-3.8484949151040804e-16
obi_l10,120,full_corpus,180.0,2560801,2137,1800.0,143,143,668499.0629861515,21.025685322678335,12.0,0.3148393175101003,0.5289873688461809,2510697,39.291251448277315,17.410961488524272,12.37063888888889,0.25968547952091897,0.5224447350653174,2560801,3.409538319072865e-15
obi_l10,300,oof_scored_purged,360.0,2090470,700,3600.0,60,119,673671.0912883227,18.528582328375915,15.0,0.2751434303825792,0.5126698177425386,2086060,117.74743215640503,11.763961358405345,3.725805555555553,0.1720000757901552,0.5053064621831455,2090470,-6.7940076934306864e-15
obi_l10,300,full_corpus,360.0,2548201,854,3600.0,72,143,668437.8471388246,16.923018631575765,16.0,0.25318025468532257,0.5142732438118082,2543150,96.8794223846549,9.209190298202914,3.715583333333342,0.13561162317937997,0.5053910582406961,2548201,-7.309647666063066e-16
obi_l10,600,oof_scored_purged,660.0,2045470,344,7200.0,30,119,673585.8496088919,15.911342380968676,10.0,0.2398223828180751,0.5079353962163607,2041738,210.98616723784752,4.505413119659132,6.532083333333333,0.06579662836640393,0.5045495656255041,2045470,-6.032855096215095e-15
obi_l10,600,full_corpus,660.0,2527201,426,7200.0,36,143,668339.5262127944,14.269114328460617,12.0,0.2173155119563085,0.5099473198847719,2523343,185.0934349899355,2.173774479126784,3.900388888888884,0.03203284396978227,0.5025409534105123,2527201,1.105558174378071e-15
direction_p2_logistic,1,oof_scored_purged,61.0,2136488,213651,1800.0,120,120,673768.5365995503,8.078979849173036,0.0,0.11689221171370821,0.7459680442203219,600267,0.4062632226345292,8.040780586350078,0.07138888888888889,0.116310024085761,0.5506770924994664,2136488,-2.5541768597050717e-17
direction_p2_logistic,2,oof_scored_purged,62.0,2136328,106818,1800.0,120,120,673768.1412561648,11.108030461614508,0.0,0.16133010124392305,0.7021425692298426,863356,0.81394078999105,11.031951828851732,0.21555555555555556,0.16017014777487615,0.5640987713497179,2136328,3.0993000273866734e-16
direction_p2_logistic,5,oof_scored_purged,65.0,2135848,42720,1800.0,120,120,673766.9583914679,15.725408128293774,0.0,0.229749293365058,0.6497193919946819,1251568,2.0353964795247603,15.537035655556593,0.8361111111111111,0.22687591588510125,0.5723398856098374,2135848,-5.791202344039381e-17
direction_p2_logistic,10,oof_scored_purged,70.0,2135048,21352,1800.0,120,120,673765.0010957599,18.696084116141652,0.0,0.2744012445666476,0.613258627717525,1523491,4.0575865273286595,18.320473518784176,1.9584444444444444,0.26867114938283776,0.566568995170132,2135048,6.815732118606632e-17
direction_p2_logistic,30,oof_scored_purged,90.0,2131848,7108,1800.0,120,120,673757.235746404,23.10817187716948,0.0,0.3412759558832899,0.5695954748913226,1860552,12.479759344943917,22.020433100029322,6.939333333333333,0.3246600149939648,0.5505430030658847,2131848,1.6109272302221251e-15
direction_p2_logistic,60,oof_scored_purged,120.0,2127048,3547,1800.0,120,120,673745.7859688639,22.052985640192418,7.0,0.32772796960116635,0.5452442661426833,2002099,24.465655217935844,19.993756568249665,11.348777777777778,0.2962683628965281,0.5353969444977265,2127048,3.530145186115826e-15
direction_p2_logistic,120,oof_scored_purged,180.0,2117470,1767,1800.0,120,120,673722.7158760219,22.433850066352772,12.0,0.33408271329697264,0.5255499397968233,2080455,48.30353605954276,18.649762427297215,12.547555555555554,0.27621816710278996,0.5187502066144974,2117470,-3.8484949151040804e-16
direction_p2_logistic,300,oof_scored_purged,360.0,2090470,700,3600.0,60,119,673671.0912883227,20.038646093940596,17.0,0.298262899424005,0.5145230722031006,2086060,117.74743215640503,12.145473787694893,6.080055555555532,0.1772797761837912,0.5068333915339612,2090470,-6.7940076934306864e-15
direction_p2_logistic,600,oof_scored_purged,660.0,2045470,344,7200.0,30,119,673585.8496088919,17.35322908671357,9.0,0.26325658541987584,0.5075058602034149,2041738,210.98616723784752,3.9763413246348747,5.586578947368423,0.05778050268364732,0.5039409035576176,2045470,-6.032855096215095e-15
direction_p2_lightgbm,1,oof_scored_purged,61.0,2136488,213651,1800.0,120,120,673768.5365995503,8.130209718004501,0.0,0.11748840579971993,0.740660406119277,600267,0.4062632226345292,8.12740548155026,0.08499137435307648,0.11743284626302629,0.5591915330205459,2136488,-2.5541768597050717e-17
direction_p2_lightgbm,2,oof_scored_purged,62.0,2136328,106818,1800.0,120,120,673768.1412561648,11.056459729030374,0.0,0.16031982692294483,0.6947933413331233,863356,0.81394078999105,11.051451462058248,0.2644444444444444,0.1602170500613014,0.5709095232567284,2136328,3.0993000273866734e-16
