problem,feature,mean_coefficient,median_coefficient,min_coefficient,max_coefficient,folds_positive,folds
fill_1000ms_bid_only,bbo_change_count_100ms,-0.03554601942,-0.03771291021,-0.05543284491,-0.003370645689,0,10
fill_1000ms_bid_only,bbo_change_count_250ms,-0.005327964434,-8.090620395e-05,-0.03541945666,0.0105726216,0.5,10
fill_1000ms_bid_only,bbo_change_count_5000ms,0.3360008419,0.2249481231,0.1105199903,0.5736318827,1,10
fill_1000ms_bid_only,bbo_change_count_500ms,0.01500424319,0.01639613509,0.005201931577,0.02188766189,1,10
fill_1000ms_bid_only,depth_event_count_1000ms,-0.03167987857,-0.03045330103,-0.05264375359,-0.01699066535,0,10
fill_1000ms_bid_only,depth_event_count_100ms,-0.0347442938,-0.03495680355,-0.04525379092,-0.02422397397,0,10
fill_1000ms_bid_only,depth_event_count_250ms,0.01259272886,0.01602034643,-0.01171429176,0.02008382231,0.9,10
fill_1000ms_bid_only,depth_event_count_5000ms,-0.01286522467,-0.0147529263,-0.02043698169,-0.003817220218,0,10
fill_1000ms_bid_only,depth_event_count_500ms,-0.008866440831,-0.007352052489,-0.01719125733,-0.003832411952,0,10
fill_1000ms_bid_only,log_opp_depth_add_l1_1000ms,0.1032395434,0.0922879912,0.0421433486,0.1461555064,1,10
fill_1000ms_bid_only,log_opp_depth_add_l1_100ms,0.05704326667,0.05722084641,0.04889570922,0.06943501532,1,10
fill_1000ms_bid_only,log_opp_depth_l1,0.02102427981,-0.01193697564,-0.03793016821,0.3382814527,0.3,10
fill_1000ms_bid_only,log_opp_depth_l10,-0.1521491542,-0.1135988235,-0.4597502351,-0.08557778597,0,10
fill_1000ms_bid_only,log_opp_depth_l5,-0.01613252442,0.0005883122794,-0.06827690452,0.03379167989,0.5,10
fill_1000ms_bid_only,log_opp_depth_remove_l1_1000ms,0.01700408868,0.02073562518,-0.02122568712,0.03258929774,0.9,10
fill_1000ms_bid_only,log_opp_depth_remove_l1_100ms,0.01303488683,0.01069647702,-0.01723027602,0.0462760441,0.9,10
fill_1000ms_bid_only,log_own_depth_add_l1_1000ms,0.02094108385,0.02525833715,-0.04065655544,0.0531540215,0.9,10
fill_1000ms_bid_only,log_own_depth_add_l1_100ms,0.03528492678,0.03136355057,0.001541499398,0.0557250753,1,10
fill_1000ms_bid_only,log_own_depth_l1,-0.3013502792,-0.3102781922,-0.4389730394,-0.2154884189,0,10
fill_1000ms_bid_only,log_own_depth_l10,0.1169414758,0.1328375563,-0.06373491138,0.3919935226,0.6,10
fill_1000ms_bid_only,log_own_depth_l5,-0.07418320275,-0.05782264657,-0.1647704244,-0.0004699363781,0,10
fill_1000ms_bid_only,log_own_depth_remove_l1_1000ms,0.1851928487,0.1694000512,0.1297507882,0.2416960597,1,10
fill_1000ms_bid_only,log_own_depth_remove_l1_100ms,0.1318188235,0.1335612759,0.1052921712,0.1470354944,1,10
fill_1000ms_bid_only,log_queue_ahead_lots,-0.3013502792,-0.3102781922,-0.4389730394,-0.2154884189,0,10
fill_1000ms_bid_only,opp_concentration_l10,-0.05237574433,-0.04862551205,-0.176066041,0.01385424007,0.1,10
fill_1000ms_bid_only,opp_concentration_l5,0.007350125129,0.00988116907,-0.02751171589,0.04107059911,0.7,10
fill_1000ms_bid_only,opp_dispersion_ticks_l10,-0.04151965603,-0.0421365127,-0.07585360855,-0.01133302599,0,10
fill_1000ms_bid_only,own_concentration_l10,0.04794304236,0.06090283208,-0.008020098321,0.09954796731,0.7,10
fill_1000ms_bid_only,own_concentration_l5,-0.01766922863,-0.01918197051,-0.02499910071,-0.001542408718,0,10
fill_1000ms_bid_only,own_dispersion_ticks_l10,0.02828710293,0.02706429455,0.003948730417,0.05094704032,1,10
fill_1000ms_bid_only,queue_to_own_depth_l5,-0.01766796254,-0.01918025222,-0.02499884367,-0.001538415672,0,10
fill_1000ms_bid_only,segment_age_ms,0.01031947955,0.0002198247239,-0.04674939066,0.1369225681,0.5,10
fill_1000ms_bid_only,signed_depth_flow_pressure_l10_1000ms,-0.06645329762,-0.06923237815,-0.1626888663,-0.01105406694,0,10
fill_1000ms_bid_only,signed_depth_flow_pressure_l10_100ms,-0.08703396544,-0.08282524347,-0.1035350636,-0.0744734481,0,10
fill_1000ms_bid_only,signed_depth_flow_pressure_l10_250ms,-0.06548358947,-0.05733548291,-0.109087415,-0.0489580892,0,10
fill_1000ms_bid_only,signed_depth_flow_pressure_l10_5000ms,-0.04733470306,-0.0489332173,-0.07059260458,-0.01195060462,0,10
fill_1000ms_bid_only,signed_depth_flow_pressure_l10_500ms,-0.07997894026,-0.06360339746,-0.1954098344,-0.04919654131,0,10
fill_1000ms_bid_only,signed_depth_flow_pressure_l5_1000ms,0.02095688034,0.001790610724,-0.01174395997,0.1620608717,0.6,10
fill_1000ms_bid_only,signed_depth_flow_pressure_l5_100ms,0.0829745423,0.07939402014,0.06145213172,0.1079334542,1,10
fill_1000ms_bid_only,signed_depth_flow_pressure_l5_250ms,0.0367484496,0.03327676468,0.01250776555,0.08379870653,1,10
fill_1000ms_bid_only,signed_depth_flow_pressure_l5_5000ms,-0.02864337899,-0.03317280859,-0.04569745809,0.01850584708,0.1,10
fill_1000ms_bid_only,signed_depth_flow_pressure_l5_500ms,0.03414099277,0.01111190766,-0.01133838668,0.1776990592,0.6,10
fill_1000ms_bid_only,signed_log_volume_1000ms,-0.02848991221,-0.02420910634,-0.1001740023,-0.0087572271,0,10
fill_1000ms_bid_only,signed_log_volume_100ms,-0.1523202725,-0.1577869207,-0.1874921769,-0.1185531244,0,10
fill_1000ms_bid_only,signed_log_volume_250ms,-0.03072481547,-0.03061818797,-0.04041556269,-0.01960611157,0,10
fill_1000ms_bid_only,signed_log_volume_5000ms,-0.02078912472,-0.02258870844,-0.06481718272,0.008620459586,0.3,10
fill_1000ms_bid_only,signed_log_volume_500ms,-0.0256960893,-0.02596141119,-0.03508017585,-0.01412640885,0,10
fill_1000ms_bid_only,signed_microprice_offset_ticks,-0.1209960625,-0.1290806942,-0.1896378547,-0.06432380527,0,10
fill_1000ms_bid_only,signed_net_depth_flow_l1_1000ms,-0.01385347127,-0.0002425144776,-0.06898225099,0.01228396408,0.5,10
fill_1000ms_bid_only,signed_net_depth_flow_l1_100ms,0.05555214435,0.05553005077,0.03936786577,0.06692701578,1,10
fill_1000ms_bid_only,signed_net_depth_flow_l1_250ms,0.01203546615,0.01268143952,-0.02764393762,0.0310409274,0.9,10
fill_1000ms_bid_only,signed_net_depth_flow_l1_5000ms,-0.01687811746,-0.00538490375,-0.08988138288,0.01797176711,0.4,10
fill_1000ms_bid_only,signed_net_depth_flow_l1_500ms,-0.01519678938,-0.01955909142,-0.04853566736,0.01407142356,0.4,10
fill_1000ms_bid_only,signed_net_depth_flow_l5_1000ms,0.03891183883,0.03290408663,0.01529431902,0.08351906389,1,10
