problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,horizon_ms,n,positives,base_rate,roc_auc,log_loss,brier,accuracy,sides,mean_target,median_target,mae,median_abs_error,rmse,spearman,sign_accuracy,r2
move_within_1000ms,price,classification,lightgbm,3,1069942,214250,2026-08-19T02:46:16.016Z,1000,214240,16482,0.07693241225,0.7536903695,0.230802314,0.06139194234,0.9293362584,,,,,,,,,
move_within_1000ms,price,classification,naive,4,1284183,214277,2026-08-19T08:43:23.700Z,1000,214277,40497,0.1889936857,0.5,0.5193696107,0.1609682242,0.8110063143,,,,,,,,,
move_within_1000ms,price,classification,linear,4,1284183,214277,2026-08-19T08:43:23.700Z,1000,214277,40497,0.1889936857,0.8541834081,0.3552773013,0.1109778722,0.8448690247,,,,,,,,,
move_within_1000ms,price,classification,lightgbm,4,1284183,214277,2026-08-19T08:43:23.700Z,1000,214277,40497,0.1889936857,0.8648930725,0.3324163831,0.1040206026,0.8495965503,,,,,,,,,
move_within_1000ms,price,classification,naive,5,1498459,214277,2026-08-19T14:40:31.383Z,1000,214277,97272,0.4539544608,0.5,1.052674962,0.363609217,0.5460455392,,,,,,,,,
move_within_1000ms,price,classification,linear,5,1498459,214277,2026-08-19T14:40:31.383Z,1000,214277,97272,0.4539544608,0.7824920237,0.5453717559,0.1837225118,0.7248421436,,,,,,,,,
move_within_1000ms,price,classification,lightgbm,5,1498459,214277,2026-08-19T14:40:31.383Z,1000,214277,97272,0.4539544608,0.7892883102,0.5803569983,0.1952109091,0.7182338748,,,,,,,,,
move_within_1000ms,price,classification,naive,6,1712736,214229,2026-08-19T20:37:39.066Z,1000,214222,97064,0.4531000551,0.5,0.9338763767,0.3358860365,0.5468999449,,,,,,,,,
move_within_1000ms,price,classification,linear,6,1712736,214229,2026-08-19T20:37:39.066Z,1000,214222,97064,0.4531000551,0.7302519241,0.5991541972,0.2058255766,0.6847942788,,,,,,,,,
move_within_1000ms,price,classification,lightgbm,6,1712736,214229,2026-08-19T20:37:39.066Z,1000,214222,97064,0.4531000551,0.7331717959,0.6220153755,0.2147311021,0.6771900178,,,,,,,,,
move_within_1000ms,price,classification,naive,7,1926958,214255,2026-08-20T02:34:46.750Z,1000,214245,63589,0.2968050596,0.5,0.6415613433,0.2202635924,0.7031949404,,,,,,,,,
move_within_1000ms,price,classification,linear,7,1926958,214255,2026-08-20T02:34:46.750Z,1000,214245,63589,0.2968050596,0.7563612447,0.4959700356,0.1611451999,0.7781698523,,,,,,,,,
move_within_1000ms,price,classification,lightgbm,7,1926958,214255,2026-08-20T02:34:46.750Z,1000,214245,63589,0.2968050596,0.7740826901,0.4799650452,0.1554554111,0.7860393475,,,,,,,,,
