executed_trade_count,gross_executable_edge_bp_per_trade,additional_cost_bp_per_side,net_edge_bp_per_trade,hit_rate,net_trade_sharpe,cumulative_net_pnl_bp,best_day_pnl_fraction,best_5pct_trade_pnl_fraction,positive_days,days,model,side,horizon_ms,tail,fold,cost_bp_per_side,utc_date
481,-0.04412879367052103,3.0,-6.044128793670521,0.0,-135.88629564745972,-2907.2259497555206,,,0,1,obi_only,short,30000,0.01,0,3.0,2026-08-19
555,0.04482792582371253,3.0,-5.9551720741762875,0.0,-229.6021523908417,-3305.1205011678394,,,0,0,obi_only,short,30000,0.01,1,3.0,2026-08-20
561,-0.05004248792681576,3.0,-6.050042487926816,0.0,-155.33325442322123,-3394.073835726944,,,0,0,obi_only,short,30000,0.01,2,3.0,2026-08-21
500,0.08887291426421129,3.0,-5.911127085735789,0.002,-187.4266127365078,-2955.5635428678943,,,0,0,obi_only,short,30000,0.01,3,3.0,2026-08-22
481,-0.04412879367052014,5.0,-10.04412879367052,0.0,-225.81574638303056,-4831.225949755521,,,0,1,obi_only,short,30000,0.01,0,5.0,2026-08-19
555,0.04482792582371253,5.0,-9.955172074176287,0.0,-383.8224835792399,-5525.120501167839,,,0,0,obi_only,short,30000,0.01,1,5.0,2026-08-20
561,-0.05004248792681665,5.0,-10.050042487926817,0.0,-258.0322055351826,-5638.073835726944,,,0,0,obi_only,short,30000,0.01,2,5.0,2026-08-21
500,0.08887291426421129,5.0,-9.911127085735789,0.0,-314.2563086764169,-4955.563542867894,,,0,0,obi_only,short,30000,0.01,3,5.0,2026-08-22
938,0.00043145253031107167,1.0,-1.999568547469689,0.010660980810234541,-69.30169646961707,-1875.5952975265682,,,0,1,obi_only,short,60000,0.1,0,1.0,2026-08-19
1090,0.020485544064479555,1.0,-1.9795144559355204,0.009174311926605505,-84.17813121456707,-2157.6707569697173,,,0,0,obi_only,short,60000,0.1,1,1.0,2026-08-20
1131,-0.001937581327513982,1.0,-2.001937581327514,0.029177718832891247,-60.49139445565556,-2264.1914044814184,,,0,0,obi_only,short,60000,0.1,2,1.0,2026-08-21
1049,0.07103452158617296,1.0,-1.928965478413827,0.010486177311725452,-78.23499595130784,-2023.4847868561046,,,0,0,obi_only,short,60000,0.1,3,1.0,2026-08-22
938,0.0004314525303112937,2.0,-3.9995685474696887,0.0021321961620469083,-138.61834636122833,-3751.595297526568,,,0,1,obi_only,short,60000,0.1,0,2.0,2026-08-19
1090,0.020485544064479555,2.0,-3.9795144559355204,0.0009174311926605505,-169.22740272876212,-4337.670756969717,,,0,0,obi_only,short,60000,0.1,1,2.0,2026-08-20
1131,-0.001937581327513982,2.0,-4.001937581327514,0.0017683465959328027,-120.92424213269734,-4526.191404481418,,,0,0,obi_only,short,60000,0.1,2,2.0,2026-08-21
1049,0.07103452158617296,2.0,-3.928965478413827,0.002859866539561487,-159.35101054752533,-4121.484786856105,,,0,0,obi_only,short,60000,0.1,3,2.0,2026-08-22
938,0.0004314525303108496,3.0,-5.999568547469689,0.0010660980810234541,-207.93499625283962,-5627.595297526568,,,0,1,obi_only,short,60000,0.1,0,3.0,2026-08-19
1090,0.020485544064479555,3.0,-5.9795144559355204,0.0,-254.27667424295717,-6517.670756969717,,,0,0,obi_only,short,60000,0.1,1,3.0,2026-08-20
1131,-0.001937581327513982,3.0,-6.001937581327514,0.0017683465959328027,-181.35708980973914,-6788.191404481418,,,0,0,obi_only,short,60000,0.1,2,3.0,2026-08-21
1049,0.07103452158617252,3.0,-5.9289654784138275,0.0009532888465204957,-240.46702514374286,-6219.484786856105,,,0,0,obi_only,short,60000,0.1,3,3.0,2026-08-22
938,0.0004314525303108496,5.0,-9.99956854746969,0.0,-346.56829603606224,-9379.595297526568,,,0,1,obi_only,short,60000,0.1,0,5.0,2026-08-19
1090,0.020485544064479555,5.0,-9.97951445593552,0.0,-424.37521727134725,-10877.670756969717,,,0,0,obi_only,short,60000,0.1,1,5.0,2026-08-20
1131,-0.001937581327513982,5.0,-10.001937581327514,0.0,-302.2227851638227,-11312.191404481418,,,0,0,obi_only,short,60000,0.1,2,5.0,2026-08-21
1049,0.07103452158617252,5.0,-9.928965478413827,0.0009532888465204957,-402.6990543361778,-10415.484786856105,,,0,0,obi_only,short,60000,0.1,3,5.0,2026-08-22
774,-0.008796373403869406,1.0,-2.0087963734038694,0.007751937984496124,-65.02212957619948,-1554.808393014595,,,0,1,obi_only,short,60000,0.05,0,1.0,2026-08-19
924,0.04336004154464357,1.0,-1.9566399584553564,0.007575757575757576,-74.13001196953486,-1807.9353216127492,,,0,0,obi_only,short,60000,0.05,1,1.0,2026-08-20
947,0.0014273717144106524,1.0,-1.9985726282855893,0.03167898627243928,-54.69248641896444,-1892.648278986453,,,0,0,obi_only,short,60000,0.05,2,1.0,2026-08-21
862,0.07809737449935406,1.0,-1.921902625500646,0.015081206496519721,-75.78436923561634,-1656.6800631815568,,,0,0,obi_only,short,60000,0.05,3,1.0,2026-08-22
774,-0.008796373403868962,2.0,-4.008796373403869,0.002583979328165375,-129.75953197007243,-3102.808393014595,,,0,1,obi_only,short,60000,0.05,0,2.0,2026-08-19
924,0.04336004154464357,2.0,-3.9566399584553564,0.0010822510822510823,-149.90277910453278,-3655.9353216127492,,,0,0,obi_only,short,60000,0.05,1,2.0,2026-08-20
947,0.0014273717144108744,2.0,-3.998572628285589,0.0031678986272439284,-109.42403396935853,-3786.648278986453,,,0,0,obi_only,short,60000,0.05,2,2.0,2026-08-21
862,0.07809737449935428,2.0,-3.9219026255006457,0.0034802784222737818,-154.64827027833942,-3380.6800631815568,,,0,0,obi_only,short,60000,0.05,3,2.0,2026-08-22
774,-0.008796373403868962,3.0,-6.008796373403869,0.0012919896640826874,-194.4969343639454,-4650.808393014595,,,0,1,obi_only,short,60000,0.05,0,3.0,2026-08-19
924,0.04336004154464401,3.0,-5.956639958455356,0.0,-225.67554623953072,-5503.935321612749,,,0,0,obi_only,short,60000,0.05,1,3.0,2026-08-20
947,0.0014273717144108744,3.0,-5.998572628285589,0.0010559662090813093,-164.15558151975264,-5680.648278986453,,,0,0,obi_only,short,60000,0.05,2,3.0,2026-08-21
862,0.07809737449935383,3.0,-5.921902625500646,0.001160092807424594,-233.51217132106254,-5104.680063181557,,,0,0,obi_only,short,60000,0.05,3,3.0,2026-08-22
774,-0.00879637340386985,5.0,-10.00879637340387,0.0,-323.9717391516914,-7746.808393014595,,,0,1,obi_only,short,60000,0.05,0,5.0,2026-08-19
924,0.043360041544643124,5.0,-9.956639958455357,0.0,-377.2210805095266,-9199.93532161275,,,0,0,obi_only,short,60000,0.05,1,5.0,2026-08-20
947,0.0014273717144099862,5.0,-9.99857262828559,0.0,-273.6186766205409,-9468.648278986453,,,0,0,obi_only,short,60000,0.05,2,5.0,2026-08-21
862,0.07809737449935383,5.0,-9.921902625500646,0.0,-391.2399734065088,-8552.680063181557,,,0,0,obi_only,short,60000,0.05,3,5.0,2026-08-22
543,-0.02850774267596634,1.0,-2.0285077426759663,0.014732965009208104,-47.060446519559044,-1101.4797042730497,,,0,1,obi_only,short,60000,0.02,0,1.0,2026-08-19
652,0.014493245491115303,1.0,-1.9855067545088847,0.009202453987730062,-64.09632516769426,-1294.550403939793,,,0,0,obi_only,short,60000,0.02,1,1.0,2026-08-20
643,-0.09190102723864513,1.0,-2.091901027238645,0.02177293934681182,-45.94123575036364,-1345.092360514449,,,0,0,obi_only,short,60000,0.02,2,1.0,2026-08-21
580,0.05387196077961187,1.0,-1.9461280392203881,0.017241379310344827,-53.504273548362995,-1128.7542627478251,,,0,0,obi_only,short,60000,0.02,3,1.0,2026-08-22
543,-0.02850774267596634,2.0,-4.028507742675966,0.003683241252302026,-93.45952652255461,-2187.4797042730497,,,0,1,obi_only,short,60000,0.02,0,2.0,2026-08-19
652,0.014493245491115303,2.0,-3.9855067545088847,0.003067484662576687,-128.66052271790454,-2598.550403939793,,,0,0,obi_only,short,60000,0.02,1,2.0,2026-08-20
643,-0.09190102723864513,2.0,-4.091901027238645,0.003110419906687403,-89.86418922871923,-2631.092360514449,,,0,0,obi_only,short,60000,0.02,2,2.0,2026-08-21
580,0.05387196077961187,2.0,-3.946128039220388,0.005172413793103448,-108.48963162356611,-2288.754262747825,,,0,0,obi_only,short,60000,0.02,3,2.0,2026-08-22
543,-0.02850774267596634,3.0,-6.028507742675966,0.001841620626151013,-139.8586065255502,-3273.4797042730497,,,0,1,obi_only,short,60000,0.02,0,3.0,2026-08-19
652,0.014493245491115303,3.0,-5.985506754508885,0.0,-193.22472026811485,-3902.550403939793,,,0,0,obi_only,short,60000,0.02,1,3.0,2026-08-20
643,-0.09190102723864513,3.0,-6.091901027238645,0.0,-133.78714270707482,-3917.092360514449,,,0,0,obi_only,short,60000,0.02,2,3.0,2026-08-21
580,0.05387196077961143,3.0,-5.946128039220389,0.0017241379310344827,-163.47498969876924,-3448.754262747825,,,0,0,obi_only,short,60000,0.02,3,3.0,2026-08-22
543,-0.02850774267596634,5.0,-10.028507742675966,0.0,-232.6567665315413,-5445.47970427305,,,0,1,obi_only,short,60000,0.02,0,5.0,2026-08-19
652,0.014493245491115303,5.0,-9.985506754508885,0.0,-322.35311536853544,-6510.550403939793,,,0,0,obi_only,short,60000,0.02,1,5.0,2026-08-20
643,-0.09190102723864513,5.0,-10.091901027238645,0.0,-221.63304966378598,-6489.092360514449,,,0,0,obi_only,short,60000,0.02,2,5.0,2026-08-21
580,0.05387196077961143,5.0,-9.946128039220389,0.0,-273.4457058491755,-5768.754262747825,,,0,0,obi_only,short,60000,0.02,3,5.0,2026-08-22
383,-0.03086908095833607,1.0,-2.030869080958336,0.013054830287206266,-38.82025923196426,-777.8228580070427,,,0,1,obi_only,short,60000,0.01,0,1.0,2026-08-19
452,-0.004590163325460139,1.0,-2.00459016332546,0.008849557522123894,-50.787042490899566,-906.074753823108,,,0,0,obi_only,short,60000,0.01,1,1.0,2026-08-20
444,-0.10951305825477231,1.0,-2.1095130582547723,0.02927927927927928,-39.82675990273708,-936.6237978651188,,,0,0,obi_only,short,60000,0.01,2,1.0,2026-08-21
392,0.09776843828446125,1.0,-1.9022315617155388,0.017857142857142856,-38.19707639191184,-745.6747721924912,,,0,0,obi_only,short,60000,0.01,3,1.0,2026-08-22
383,-0.03086908095833607,2.0,-4.030869080958336,0.0026109660574412533,-77.05045299083085,-1543.8228580070427,,,0,1,obi_only,short,60000,0.01,0,2.0,2026-08-19
452,-0.004590163325460139,2.0,-4.00459016332546,0.0022123893805309734,-101.457791474969,-1810.074753823108,,,0,0,obi_only,short,60000,0.01,1,2.0,2026-08-20
444,-0.10951305825477231,2.0,-4.109513058254772,0.0,-77.58595721786182,-1824.6237978651188,,,0,0,obi_only,short,60000,0.01,2,2.0,2026-08-21
392,0.09776843828446102,2.0,-3.902231561715539,0.007653061224489796,-78.35735672861658,-1529.6747721924912,,,0,0,obi_only,short,60000,0.01,3,2.0,2026-08-22
383,-0.03086908095833607,3.0,-6.030869080958336,0.0026109660574412533,-115.28064674969744,-2309.8228580070427,,,0,1,obi_only,short,60000,0.01,0,3.0,2026-08-19
452,-0.004590163325460139,3.0,-6.00459016332546,0.0,-152.12854045903842,-2714.074753823108,,,0,0,obi_only,short,60000,0.01,1,3.0,2026-08-20
444,-0.10951305825477231,3.0,-6.109513058254772,0.0,-115.34515453298654,-2712.623797865119,,,0,0,obi_only,short,60000,0.01,2,3.0,2026-08-21
392,0.09776843828446147,3.0,-5.9022315617155385,0.002551020408163265,-118.5176370653213,-2313.674772192491,,,0,0,obi_only,short,60000,0.01,3,3.0,2026-08-22
383,-0.03086908095833607,5.0,-10.030869080958336,0.0,-191.74103426743065,-3841.8228580070427,,,0,1,obi_only,short,60000,0.01,0,5.0,2026-08-19
452,-0.004590163325460139,5.0,-10.00459016332546,0.0,-253.47003842717731,-4522.074753823108,,,0,0,obi_only,short,60000,0.01,1,5.0,2026-08-20
444,-0.10951305825477142,5.0,-10.109513058254771,0.0,-190.863549163236,-4488.623797865119,,,0,0,obi_only,short,60000,0.01,2,5.0,2026-08-21
392,0.09776843828446147,5.0,-9.902231561715539,0.002551020408163265,-198.83819773873074,-3881.674772192491,,,0,0,obi_only,short,60000,0.01,3,5.0,2026-08-22
8640,0.007424270327276217,1.0,-1.9925757296727238,0.0,-2995.3263494846387,-17215.854304372333,,,0,1,linear,long,250,0.1,0,1.0,2026-08-19
8639,0.00561567900237403,1.0,-1.994384320997626,0.0,-3400.898491355454,-17229.48614909849,,,0,0,linear,long,250,0.1,1,1.0,2026-08-20
8640,0.008629579816570754,1.0,-1.9913704201834292,0.0,-3021.5337025805757,-17205.440430384828,,,0,0,linear,long,250,0.1,2,1.0,2026-08-21
8640,0.006599333066926061,1.0,-1.993400666933074,0.0,-4876.612342441144,-17222.98176230176,,,0,0,linear,long,250,0.1,3,1.0,2026-08-22
8640,0.007424270327276439,2.0,-3.9925757296727236,0.0,-6001.813184468436,-34495.85430437233,,,0,1,linear,long,250,0.1,0,2.0,2026-08-19
8639,0.00561567900237403,2.0,-3.994384320997626,0.0,-6811.373047888535,-34507.48614909849,,,0,0,linear,long,250,0.1,1,2.0,2026-08-20
8640,0.008629579816570754,2.0,-3.9913704201834292,0.0,-6056.161185198556,-34485.44043038483,,,0,0,linear,long,250,0.1,2,2.0,2026-08-21
8640,0.006599333066926061,2.0,-3.993400666933074,0.0,-9769.369150779135,-34502.98176230176,,,0,0,linear,long,250,0.1,3,2.0,2026-08-22
8640,0.007424270327276439,3.0,-5.992575729672724,0.0,-9008.300019452232,-51775.85430437233,,,0,1,linear,long,250,0.1,0,3.0,2026-08-19
8639,0.00561567900237403,3.0,-5.994384320997626,0.0,-10221.847604421617,-51785.48614909849,,,0,0,linear,long,250,0.1,1,3.0,2026-08-20
8640,0.008629579816570754,3.0,-5.991370420183429,0.0,-9090.788667816538,-51765.44043038483,,,0,0,linear,long,250,0.1,2,3.0,2026-08-21
8640,0.006599333066925617,3.0,-5.993400666933074,0.0,-14662.125959117126,-51782.98176230176,,,0,0,linear,long,250,0.1,3,3.0,2026-08-22
8640,0.007424270327275551,5.0,-9.992575729672724,0.0,-15021.27368941983,-86335.85430437233,,,0,1,linear,long,250,0.1,0,5.0,2026-08-19
8639,0.005615679002373142,5.0,-9.994384320997627,0.0,-17042.79671748778,-86341.48614909849,,,0,0,linear,long,250,0.1,1,5.0,2026-08-20
8640,0.008629579816570754,5.0,-9.99137042018343,0.0,-15160.0436330525,-86325.44043038483,,,0,0,linear,long,250,0.1,2,5.0,2026-08-21
8640,0.006599333066926505,5.0,-9.993400666933073,0.0,-24447.639575793102,-86342.98176230176,,,0,0,linear,long,250,0.1,3,5.0,2026-08-22
4320,0.010746072990231337,1.0,-1.9892539270097687,0.0,-1657.0759933005756,-8593.576964682201,,,0,1,linear,long,250,0.05,0,1.0,2026-08-19
4320,0.005237979251547564,1.0,-1.9947620207484524,0.0,-2056.913784141774,-8617.371929633315,,,0,0,linear,long,250,0.05,1,1.0,2026-08-20
4320,0.008063497888603388,1.0,-1.9919365021113966,0.0,-1905.241691959331,-8605.165689121233,,,0,0,linear,long,250,0.05,2,1.0,2026-08-21
4320,0.008183844301809629,1.0,-1.9918161556981904,0.0,-3027.4713586303496,-8604.645792616182,,,0,0,linear,long,250,0.05,3,1.0,2026-08-22
4320,0.010746072990231337,2.0,-3.9892539270097687,0.0,-3323.1036138080085,-17233.5769646822,,,0,1,linear,long,250,0.05,0,2.0,2026-08-19
