executed_trade_count,gross_executable_edge_bp_per_trade,additional_cost_bp_per_side,net_edge_bp_per_trade,hit_rate,net_trade_sharpe,cumulative_net_pnl_bp,best_day_pnl_fraction,best_5pct_trade_pnl_fraction,positive_days,days,view,model,side,horizon_ms,tail,eligible_oof_observations
8443,0.057792997710707894,5.0,-9.942207002289292,0.00011844131232974062,-2105.5161308968236,-83942.05372032849,,,0,2,non_overlapping_trade_tape,obi_only,long,10000,0.05,345461
6911,0.06560752366427858,1.0,-1.9343924763357214,0.0036174215019534077,-334.8890543188266,-13368.586403956171,,,0,4,predictive_all_eligible,obi_only,long,10000,0.02,345461
4487,0.061829426374219176,1.0,-1.9381705736257808,0.0046801872074883,-274.0864820755993,-8696.571363858879,,,0,3,non_overlapping_trade_tape,obi_only,long,10000,0.02,345461
6911,0.06560752366427858,2.0,-3.9343924763357214,0.0007234843003906816,-681.1363215261514,-27190.58640395617,,,0,4,predictive_all_eligible,obi_only,long,10000,0.02,345461
4487,0.061829426374218954,2.0,-3.938170573625781,0.0006685981724983285,-556.9165753659532,-17670.57136385888,,,0,3,non_overlapping_trade_tape,obi_only,long,10000,0.02,345461
6911,0.06560752366427813,3.0,-5.934392476335722,0.0004340905802344089,-1027.3835887334762,-41012.58640395617,,,0,4,predictive_all_eligible,obi_only,long,10000,0.02,345461
4487,0.061829426374218954,3.0,-5.938170573625781,0.00022286605749944285,-839.7466686563073,-26644.57136385888,,,0,3,non_overlapping_trade_tape,obi_only,long,10000,0.02,345461
6911,0.06560752366427813,5.0,-9.934392476335722,0.0002893937201562726,-1719.878123148126,-68656.58640395617,,,0,4,predictive_all_eligible,obi_only,long,10000,0.02,345461
4487,0.061829426374218954,5.0,-9.938170573625781,0.00022286605749944285,-1405.4068552370154,-44592.57136385888,,,0,3,non_overlapping_trade_tape,obi_only,long,10000,0.02,345461
3456,0.06359913833896114,1.0,-1.9364008616610389,0.004050925925925926,-208.06242156071144,-6692.20137790055,,,0,4,predictive_all_eligible,obi_only,long,10000,0.01,345461
