problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,horizon_ms,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy,queue_cell,threshold_ticks,mean_target,median_target,mae,median_abs_error,rmse,spearman,sign_accuracy,r2
level_disappears_1000ms,level_failure,classification,naive,8,428242,42852,2026-08-20T08:31:54.433Z,1000,42850,24271,0.5664177363,0.5,0.5664177363,1,1.007849054,0.3796853845,0.4335822637,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,linear,8,428242,42852,2026-08-20T08:31:54.433Z,1000,42850,24271,0.5664177363,0.7465000908,0.8079457979,1.42641331,0.5892314426,0.2035410559,0.6763827305,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,lightgbm,8,428242,42852,2026-08-20T08:31:54.433Z,1000,42850,24271,0.5664177363,0.7519375923,0.8146334233,1.438220188,0.5750178473,0.1990087847,0.682613769,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,naive,9,471092,42854,2026-08-20T14:29:02.116Z,1000,42854,19950,0.4655341392,0.5,0.4655341392,1,0.8192513881,0.302642078,0.5344658608,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,linear,9,471092,42854,2026-08-20T14:29:02.116Z,1000,42854,19950,0.4655341392,0.753324006,0.751375377,1.614007038,0.5918676831,0.2038495812,0.6827834041,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,lightgbm,9,471092,42854,2026-08-20T14:29:02.116Z,1000,42854,19950,0.4655341392,0.7617358428,0.7653591948,1.64404526,0.5716214538,0.1964098159,0.6955476735,,,,,,,,,,
trade_through_within_500ms,sweep,classification,naive,0,85424,42856,2026-08-18T08:54:52.966Z,500,42856,1974,0.0460612283,0.5,0.0460612283,1,0.1917150486,0.04426195106,0.9539387717,,,,,,,,,,
trade_through_within_500ms,sweep,classification,linear,0,85424,42856,2026-08-18T08:54:52.966Z,500,42856,1974,0.0460612283,0.8890524844,0.4367030042,9.480923986,0.128523728,0.03361741648,0.9599355983,,,,,,,,,,
trade_through_within_500ms,sweep,classification,lightgbm,0,85424,42856,2026-08-18T08:54:52.966Z,500,42856,1974,0.0460612283,0.8828737062,0.4278651333,9.289051748,0.1336090866,0.03398645195,0.9602622737,,,,,,,,,,
trade_through_within_500ms,sweep,classification,naive,1,128280,42856,2026-08-18T14:52:00.649Z,500,42856,1531,0.03572428598,0.5,0.03572428598,1,0.1541529998,0.03445099488,0.964275714,,,,,,,,,,
trade_through_within_500ms,sweep,classification,linear,1,128280,42856,2026-08-18T14:52:00.649Z,500,42856,1531,0.03572428598,0.8832572727,0.4010645585,11.22666409,0.1065636004,0.02674941001,0.9686391637,,,,,,,,,,
trade_through_within_500ms,sweep,classification,lightgbm,1,128280,42856,2026-08-18T14:52:00.649Z,500,42856,1531,0.03572428598,0.8788639226,0.4014408318,11.23719679,0.1077354828,0.02668331947,0.9690591749,,,,,,,,,,
trade_through_within_500ms,sweep,classification,naive,2,171136,42856,2026-08-18T20:49:08.333Z,500,42856,1044,0.02436064962,0.5,0.02436064962,1,0.1162673342,0.02386975522,0.9756393504,,,,,,,,,,
trade_through_within_500ms,sweep,classification,linear,2,171136,42856,2026-08-18T20:49:08.333Z,500,42856,1044,0.02436064962,0.8636890159,0.3025904384,12.42127953,0.08532522934,0.01995967622,0.977926078,,,,,,,,,,
trade_through_within_500ms,sweep,classification,lightgbm,2,171136,42856,2026-08-18T20:49:08.333Z,500,42856,1044,0.02436064962,0.8577080385,0.309018203,12.68513803,0.08594634676,0.01983889784,0.978462759,,,,,,,,,,
trade_through_within_500ms,sweep,classification,naive,3,213992,42850,2026-08-19T02:46:16.016Z,500,42848,945,0.022054705,0.5,0.022054705,1,0.1078714996,0.02167674219,0.977945295,,,,,,,,,,
trade_through_within_500ms,sweep,classification,linear,3,213992,42850,2026-08-19T02:46:16.016Z,500,42848,945,0.022054705,0.8691818608,0.3036212491,13.76673363,0.07759357343,0.01786792938,0.9802557879,,,,,,,,,,
trade_through_within_500ms,sweep,classification,lightgbm,3,213992,42850,2026-08-19T02:46:16.016Z,500,42848,945,0.022054705,0.8630970721,0.3103920852,14.07373552,0.07782368116,0.01771721117,0.9804658327,,,,,,,,,,
trade_through_within_500ms,sweep,classification,naive,4,256840,42856,2026-08-19T08:43:23.700Z,500,42856,2741,0.06395837222,0.5,0.06395837222,1,0.2519548546,0.06097200294,0.9360416278,,,,,,,,,,
trade_through_within_500ms,sweep,classification,linear,4,256840,42856,2026-08-19T08:43:23.700Z,500,42856,2741,0.06395837222,0.8885033829,0.484041494,7.568070875,0.1630139011,0.04443093426,0.9450952025,,,,,,,,,,
trade_through_within_500ms,sweep,classification,lightgbm,4,256840,42856,2026-08-19T08:43:23.700Z,500,42856,2741,0.06395837222,0.8894862968,0.4946549348,7.734013822,0.1596893419,0.04357838491,0.9459585589,,,,,,,,,,
trade_through_within_500ms,sweep,classification,naive,5,299696,42856,2026-08-19T14:40:31.383Z,500,42856,7739,0.1805814822,0.5,0.1805814822,1,0.6327679871,0.1690429227,0.8194185178,,,,,,,,,,
trade_through_within_500ms,sweep,classification,linear,5,299696,42856,2026-08-19T14:40:31.383Z,500,42856,7739,0.1805814822,0.8406868391,0.6254488713,3.463527178,0.3493558324,0.1052526137,0.8601596043,,,,,,,,,,
trade_through_within_500ms,sweep,classification,lightgbm,5,299696,42856,2026-08-19T14:40:31.383Z,500,42856,7739,0.1805814822,0.8368831458,0.6298528033,3.487914684,0.3404112095,0.1028178779,0.8628196752,,,,,,,,,,
trade_through_within_500ms,sweep,classification,naive,6,342552,42846,2026-08-19T20:37:39.066Z,500,42842,7128,0.1663787872,0.5,0.1663787872,1,0.5328398554,0.1514217279,0.8336212128,,,,,,,,,,
trade_through_within_500ms,sweep,classification,linear,6,342552,42846,2026-08-19T20:37:39.066Z,500,42842,7128,0.1663787872,0.818144512,0.5612761199,3.37348366,0.3474513533,0.1043154662,0.861887867,,,,,,,,,,
trade_through_within_500ms,sweep,classification,lightgbm,6,342552,42846,2026-08-19T20:37:39.066Z,500,42842,7128,0.1663787872,0.8217428276,0.5765680445,3.465393962,0.3396005474,0.1018928957,0.8649222725,,,,,,,,,,
trade_through_within_500ms,sweep,classification,naive,7,385394,42852,2026-08-20T02:34:46.750Z,500,42850,4630,0.1080513419,0.5,0.1080513419,1,0.3545020694,0.09813301861,0.8919486581,,,,,,,,,,
trade_through_within_500ms,sweep,classification,linear,7,385394,42852,2026-08-20T02:34:46.750Z,500,42850,4630,0.1080513419,0.8603078545,0.559777237,5.180659742,0.2385652333,0.06779183106,0.9135589265,,,,,,,,,,
trade_through_within_500ms,sweep,classification,lightgbm,7,385394,42852,2026-08-20T02:34:46.750Z,500,42850,4630,0.1080513419,0.8630620269,0.5737808861,5.310261549,0.2340317178,0.06644187033,0.9147024504,,,,,,,,,,
trade_through_within_500ms,sweep,classification,naive,8,428244,42852,2026-08-20T08:31:54.433Z,500,42850,9328,0.2176896149,0.5,0.2176896149,1,0.6350800092,0.1920366294,0.7823103851,,,,,,,,,,
trade_through_within_500ms,sweep,classification,linear,8,428244,42852,2026-08-20T08:31:54.433Z,500,42850,9328,0.2176896149,0.8022520754,0.601766865,2.76433428,0.410403518,0.1283332239,0.8247607935,,,,,,,,,,
trade_through_within_500ms,sweep,classification,lightgbm,8,428244,42852,2026-08-20T08:31:54.433Z,500,42850,9328,0.2176896149,0.8083749633,0.6179745476,2.838787453,0.3999923658,0.1253526907,0.8289381564,,,,,,,,,,
trade_through_within_500ms,sweep,classification,naive,9,471094,42854,2026-08-20T14:29:02.116Z,500,42854,7360,0.171745928,0.5,0.171745928,1,0.4984529819,0.150006796,0.828254072,,,,,,,,,,
trade_through_within_500ms,sweep,classification,linear,9,471094,42854,2026-08-20T14:29:02.116Z,500,42854,7360,0.171745928,0.814909811,0.5743856367,3.344391587,0.3498056817,0.106109121,0.859663042,,,,,,,,,,
trade_through_within_500ms,sweep,classification,lightgbm,9,471094,42854,2026-08-20T14:29:02.116Z,500,42854,7360,0.171745928,0.8213324137,0.593689359,3.456788558,0.3414224436,0.1032883534,0.8637000047,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,naive,0,85420,42856,2026-08-18T08:54:52.966Z,1000,42856,3147,0.07343195819,0.5,0.07343195819,1,0.2678632848,0.06862217351,0.9265680418,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,linear,0,85420,42856,2026-08-18T08:54:52.966Z,1000,42856,3147,0.07343195819,0.8661457088,0.445234931,6.063231078,0.1900786702,0.05295246538,0.9346415904,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,lightgbm,0,85420,42856,2026-08-18T08:54:52.966Z,1000,42856,3147,0.07343195819,0.8607447269,0.4355989635,5.932008001,0.1929294666,0.05334653041,0.9338949039,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,naive,1,128276,42856,2026-08-18T14:52:00.649Z,1000,42856,2530,0.0590349076,0.5,0.0590349076,1,0.2243339565,0.05555307983,0.9409650924,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,linear,1,128276,42856,2026-08-18T14:52:00.649Z,1000,42856,2530,0.0590349076,0.854087458,0.3989789011,6.758355647,0.1656371116,0.04425435892,0.9463552361,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,lightgbm,1,128276,42856,2026-08-18T14:52:00.649Z,1000,42856,2530,0.0590349076,0.8512882263,0.3972466226,6.729012355,0.1665784714,0.0443109189,0.9466119097,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,naive,2,171132,42856,2026-08-18T20:49:08.333Z,1000,42856,1824,0.04256113496,0.5,0.04256113496,1,0.1783234427,0.04098058647,0.957438865,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,linear,2,171132,42856,2026-08-18T20:49:08.333Z,1000,42856,1824,0.04256113496,0.8422373742,0.3017432444,7.089642807,0.1368711653,0.0349055274,0.9597722606,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,lightgbm,2,171132,42856,2026-08-18T20:49:08.333Z,1000,42856,1824,0.04256113496,0.8405323306,0.3130620298,7.355584622,0.1364296891,0.03463639001,0.9599822662,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,naive,3,213988,42850,2026-08-19T02:46:16.016Z,1000,42848,1679,0.03918502614,0.5,0.03918502614,1,0.1679215154,0.03789083381,0.9608149739,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,linear,3,213988,42850,2026-08-19T02:46:16.016Z,1000,42848,1679,0.03918502614,0.8443787271,0.2999840272,7.65557808,0.1275551826,0.03198799974,0.9631488051,,,,,,,,,,
