problem,feature,mean_coefficient,median_coefficient,folds_positive,folds
catastrophic_25_midpoint,log_cum_replenish,0.01000669469,0.006465626881,0.7,10
catastrophic_25_midpoint,log_cum_trade_at_quote,0.03504116619,0.02742018178,1,10
catastrophic_25_midpoint,log_cum_trade_through,-0.04060279895,-0.0388810169,0,10
catastrophic_25_midpoint,log_current_qty,-0.1433512412,-0.1225832738,0,10
catastrophic_25_midpoint,log_initial_qty,0.105811768,0.1091915034,1,10
catastrophic_25_midpoint,log_level_age_ms,-0.3073508022,-0.3229417503,0,10
catastrophic_25_midpoint,log_max_qty,-0.02350737546,-0.03214274254,0.2,10
catastrophic_25_midpoint,log_opp_depth_l1,0.1742346124,0.0363792479,0.8,10
catastrophic_25_midpoint,log_opp_depth_l10,-0.1747421754,-0.1128915213,0,10
catastrophic_25_midpoint,log_opp_depth_l5,0.1184015614,0.1092496216,0.9,10
catastrophic_25_midpoint,log_own_depth_l1,-0.1433508076,-0.1225832738,0,10
catastrophic_25_midpoint,log_own_depth_l10,0.4232686594,0.4404565841,1,10
catastrophic_25_midpoint,log_own_depth_l5,-0.216026705,-0.2213303149,0.2,10
catastrophic_25_midpoint,log_prints_at_quote,-0.1778095491,-0.1845376939,0,10
catastrophic_25_midpoint,log_prints_through,0.110366299,0.109944433,1,10
catastrophic_25_midpoint,log_remove_events,0.1311264288,0.140797995,1,10
catastrophic_25_midpoint,log_replenish_events,-0.04724536273,-0.0580136925,0.2,10
catastrophic_25_midpoint,log_time_since_add_ms,0.05994601185,0.04648751207,1,10
catastrophic_25_midpoint,log_time_since_print_ms,-0.03762775455,-0.0355330985,0,10
catastrophic_25_midpoint,log_time_since_qty_change_ms,-0.02318393486,-0.02331540547,0,10
catastrophic_25_midpoint,log_time_since_remove_ms,0.004533119884,0.002705484221,0.5,10
catastrophic_25_midpoint,log_time_since_replenish_ms,-0.05515768193,-0.03622995503,0,10
catastrophic_25_midpoint,opp_concentration_l10,-0.110513743,-0.09017532691,0,10
catastrophic_25_midpoint,opp_concentration_l5,0.04269514661,0.04945656285,0.9,10
catastrophic_25_midpoint,opp_dispersion_ticks_l10,-0.009953810781,-0.01686471701,0.3,10
catastrophic_25_midpoint,own_concentration_l10,0.3637993813,0.3650248349,1,10
catastrophic_25_midpoint,own_concentration_l5,-0.1027598739,-0.1022903174,0,10
catastrophic_25_midpoint,own_dispersion_ticks_l10,0.05233744998,0.04964695312,1,10
catastrophic_25_midpoint,relative_remaining_qty,0.01756070942,0.02005332336,0.7,10
catastrophic_25_midpoint,relative_to_max_qty,-0.04412917923,-0.04323430359,0,10
catastrophic_25_midpoint,removal_ratio,0.007354550911,-0.000762259077,0.5,10
catastrophic_25_midpoint,replenishment_ratio,-0.01068448196,-0.007722181035,0,10
catastrophic_25_midpoint,signed_depth_flow_pressure_l10_1000ms,0.01122071636,0.009956620168,1,10
catastrophic_25_midpoint,signed_depth_flow_pressure_l10_100ms,0.0092555115,0.007662497461,1,10
catastrophic_25_midpoint,signed_depth_flow_pressure_l10_250ms,-0.004940211706,-0.002877104693,0.4,10
catastrophic_25_midpoint,signed_depth_flow_pressure_l10_5000ms,-0.03405749341,-0.03097264282,0,10
catastrophic_25_midpoint,signed_depth_flow_pressure_l10_500ms,0.004666295554,0.005651299609,0.8,10
catastrophic_25_midpoint,signed_log_volume_1000ms,-0.01836262825,-0.01965228096,0,10
catastrophic_25_midpoint,signed_log_volume_100ms,-0.00550462293,0.0004304289323,0.6,10
catastrophic_25_midpoint,signed_log_volume_250ms,-0.02026278665,-0.0176338926,0,10
catastrophic_25_midpoint,signed_log_volume_5000ms,0.005191048398,0.002270788304,0.6,10
catastrophic_25_midpoint,signed_log_volume_500ms,-0.01034481496,-0.01387509331,0.3,10
catastrophic_25_midpoint,signed_microprice_offset_ticks,0.04453419279,0.06112921238,0.7,10
catastrophic_25_midpoint,signed_net_depth_flow_l1_1000ms,-0.02039218829,-0.01737143099,0,10
catastrophic_25_midpoint,signed_net_depth_flow_l1_100ms,0.01879311707,0.01359860273,1,10
catastrophic_25_midpoint,signed_net_depth_flow_l1_250ms,-0.003380310233,-0.002770686813,0.3,10
catastrophic_25_midpoint,signed_net_depth_flow_l1_5000ms,0.002499028249,0.002090709051,0.5,10
catastrophic_25_midpoint,signed_net_depth_flow_l1_500ms,-0.0007852155453,-0.003713654456,0.4,10
catastrophic_25_midpoint,signed_net_depth_flow_l5_1000ms,-0.01669391075,-0.016357054,0,10
catastrophic_25_midpoint,signed_net_depth_flow_l5_100ms,-0.01978072016,-0.02208345011,0,10
catastrophic_25_midpoint,signed_net_depth_flow_l5_250ms,0.01427444165,0.01329108886,0.9,10
catastrophic_25_midpoint,signed_net_depth_flow_l5_5000ms,-0.02771976888,-0.02568240371,0,10
catastrophic_25_midpoint,signed_net_depth_flow_l5_500ms,-0.01835598291,-0.009236482438,0,10
catastrophic_25_midpoint,signed_obi_l1,0.08287431679,0.08189853653,1,10
catastrophic_25_midpoint,signed_obi_l10,-0.1216912817,-0.09785429388,0,10
catastrophic_25_midpoint,signed_obi_l5,-0.04600164229,-0.05517781898,0.1,10
catastrophic_25_midpoint,signed_trade_imbalance_1000ms,0.06278765798,0.06531780213,1,10
catastrophic_25_midpoint,signed_trade_imbalance_100ms,0.009392131191,0.01062558731,0.7,10
